# 使用中の単字 = 2260字 / 使用中の master表示 = 5362種
# ★候補にしてよいのは この一覧に載っている字のみ。載っていない字は使わない。

## [A] 生物に使われている字(最近縁字を選ぶ際の第一候補)
字	語根数	既に割り当てられている代表例(語根=語釈)
鳄	5(生物4)	avokad={Ｏ}【果】アボカド（の実） / aligator={Ｏ}【動】（アリゲーター科の）ワニ（鰐）（ / kajman=【動】カイマン（中南米産のワニ）,>>ali / gavial=【動】ガビアル,ガンジスワニ,>>kroko
驼	6(生物4)	kamel={Ｂ}【動】ラクダ（属） / dromedar={Ｏ}【動】ヒトコブラクダ,=unug^ib / alk={Ｏ}【動】オオシカ / vikun=【動】ビクーニャ（ラマに似たアンデス産の偶蹄
葵	5(生物4)	alte={Ｏ}【植】タチアオイ（立葵）（属） / heliant=【植】ヒマワリ（向日葵）（属）,=sunfl / alce=【植】【PIV】G. (Genro) (Al / aktini=【動】【化】【PIV】1 Rozosimil
潜	7(生物4)	gavi=【鳥】=kolimbo（アビ） / greb=【動】【PIV】Podicipo k par / podicip=【動】【PIV】G. (Genro) (Po / kolimb={Ｏ}【鳥】アビ（属）,=gavio
囊	18(生物4)	kapsul={Ｏ}（ビンの）王冠;【化】蒸発皿;【薬】（ / ask=【植】【PIV】Fungoc^elo oft / folikl=【植】袋果（たいか）;【解】小胞,濾胞（ろほ / cisticerk=【動】【PIV】Larvo de iuj t
柑	5(生物4)	bergamot=【植】ベルガモット（オレンジの一種） / citrus=【植】かんきつ（柑橘）類（の樹木、ミカン・ダ / kapor={Ｏ}【植】フウチョウボク（属）,ケーパー（ / cedrat=【果】シトロン,ブシュカン（仏手柑）
蛤	4(生物4)	lofi=【動】【PIV】G. (Genro) (Lo / buf={Ｏ}【動】ヒキガエル（蟇蛙）（属）,ガマ（ / meretrik=《Ｎ》【貝】ハマグリ（mang^ebla d / ruditap=《Ｎ》【貝】アサリ（mang^ebla du
百	17(生物3)	lili={Ｂ}【植】ユリ（属）（百合） / timian={Ｏ}【植】タチジャコウソウ（立麝香草）（属 / serpil=【植】イブキジャコウソウ（伊吹麝香草）（種）
原	23(生物3)	ur={Ｏ}【動】オーロックス（17世紀に絶滅した / pamp=【植】【生態】【地理】【PIV】S-Amer / primordi=【植】【PIV】Junega au^ jun
马	17(生物3)	zebr={Ｏ}【動】シマウマ（縞馬） / faeton=フェートン（無蓋 の軽四輪馬車）;【鳥】ネッ / onagr=【動】【PIV】Sp. (Specio) d
油	23(生物3)	nap={Ｏ}【農】カブ,カブラ（蕪）,=rapo; / kantarel=【菌】アンズタケ（属） / kolz={Ｏ}【植】（セイヨウ）アブラナ,=oleo
卵	13(生物3)	ovari=【解】卵巣;【植】子房 / ovol=【動】卵子;【植】胚珠（はいしゅ） / arkegoni=【植】【PIV】Inseksa reprod
猪	5(生物3)	apr={Ｂ}【動】イノシシ（猪）（種）,=sova / eritroni=【植】【PIV】G. (Genro) (Er / su=【動】【PIV】Apro.
丝	8(生物3)	filament=【電】フィラメント;【植】花糸;【解】線条組 / salangan=【動】【PIV】G. (Genro) (Co / hif=【植】【PIV】Fadenforma ele
米	14(生物3)	riz={Ｂ}【植】イネ（稲）（種）;《般》米（粒） / maiz={Ｂ}【植】トウモロコシ（種）;トウモロコシ / mile=《Ｎ》【植】キビ（黍）（種）,>>panic
杉	3(生物3)	abi={Ｂ}【植】モミ（樅）（属） / pice={Ｂ}【植】トウヒ（唐檜）（属） / cug=【植】【PIV】G. (Genro) (Ts
卜	4(生物3)	karot={Ｂ}【植】ニンジン（人参） / rafan={Ｂ}【植】ダイコン（大根）（種）;【植】ダ / rap={Ｏ}【植】カブ,カブラ（蕪）（種）
豌	4(生物3)	piz={Ｂ}【植】エンドウ（豌豆）（属）;《般》え / latir=【植】レンリソウ（属） / vici=【植】ソラマメ（空豆）（属）（ソラマメ、カラ
鹃	3(生物3)	kukol={Ｂ}【鳥】カッコウ（属） / trogon=【動】【PIV】G. (Genro) (Tr / azale=【植】アザレア;ツツジ（躑躅）,>>rodo
天	14(生物3)	cign={Ｂ}【鳥】ハクチョウ（白鳥）;《転》詩聖 / sfing=【動】【PIV】1 G. (Genro) ( / nandin=《Ｎ》【植】ナンテン（南天）（specio 
药	13(生物3)	oficin=【植】（分類名で）薬用の;【薬】薬局方の,= / kolocint=【植】コロシントウリ（種） / kolokint=【植】=kolocinto（コロシントウリ）
樱	4(生物3)	bigarel=【植】【PIV】Rug^a k blanka / meriz={Ｏ}【果】サクランボ（の実）,=dolc^ / sakur=【植】サクラ
蚊	3(生物3)	moskit={Ｂ}《般》【虫】蚊（か）,>>kulo / kul={Ｏ}【虫】カ（蚊）;（特に）イエカ（属）, / anofel=【虫】ハマダラカ（属）,>>moskito
合	23(生物3)	lili={Ｂ}【植】ユリ（属）（百合） / akaci={Ｏ}【植】アカシア（属） / anastomoz=【解】【植】【PIV】Kunig^a pun
蟹	3(生物3)	krab={Ｏ}【動】カニ（類）（蟹） / pagur=【動】ヤドカリ（宿借） / limul=【動】カブトガニ
竹	4(生物3)	fasm=【動】【PIV】Vulgara nomo ( / nandin=《Ｎ》【植】ナンテン（南天）（specio  / bambuz=【植】【PIV】Tipa g. (genro
苔	7(生物3)	bri=【植】【PIV】G. (Genro) (Br / hipn=【植】【PIV】G. (Genro) (Hy / sfagn=【植】【PIV】G. (Genro) (Sp
柳	4(生物3)	salik={Ｂ}【植】ヤナギ（柳）（属） / vimen=【植】タイリクキヌヤナギ（大陸絹柳）（種）; / popl={Ｏ}【植】ポプラ,ハコヤナギ（箱柳）（属）
穗	4(生物3)	spik={Ｂ}【植】穂（ほ）;【植】穂状花序（すいじ / smut=【植】黒穂病 / ament=【植】【PIV】Infloresko, de
