版	表面	見出し(raw)	行	語釈冒頭
学術版	六角o	heksagon/o	L48797	【PIV】1 = regula sesangulo. 2 = sesangulo.
学術版	共	kun	L20630	{Ｂ}［前］〜と共に,〜と一緒に;〜と,〜に対して;〜を連れて,〜を持って;〜と同時に,〜しながら
学術版	共	kun-	L20631	{Ｂ}［前］〜と共に,〜と一緒に;〜と,〜に対して;〜を連れて,〜を持って;〜と同時に,〜しながら
学術版	兽医a	best/kurac/a	L3590	獣医の,動物病院の
学術版	兽医a	veterinar/a	L43216	獣医の,=bestkuraca
学術版	内	en	L9369	{Ｂ}［前］（場所）〜の中で;（時間）〜の間に;（状態）〜において;（衣服）〜を着て
学術版	内	en-	L9370	{Ｂ}［前］（場所）〜の中で;（時間）〜の間に;（状態）〜において;（衣服）〜を着て
学術版	内	-en	L57281	{Ｂ}［前］（場所）〜の中で;（時間）〜の間に;（状態）〜において;（衣服）〜を着て
学術版	内渗o	endosmoz/o	L9427	【生】内方浸透
学術版	内渗o	en/osmoz/o	L60156	【PIV】Osmozo al la interna medio.
学術版	再见i	adiau^/i	L258	［他］別れを告げる;【情】ログアウトする,=malregistrig^i,>>saluti
学術版	再见i	re/vid/i	L34017	［他］再会する,見なおす
学術版	再见o	adiau^/o	L259	別れ,別れのあいさつ
学術版	再见o	re/vid/o	L34018	再会
学術版	出	el	L8751	{Ｂ}［前］〜の中から,〜から出た,〜のうちの,〜製の
学術版	出	el-	L8752	{Ｂ}［前］〜の中から,〜から出た,〜のうちの,〜製の
学術版	刨具o	rabot/il/o	L32853	かんな（鉋）
学術版	刨具o	rabotator/o	L54124	【PIV】Elektra mas^ino por paralele raboti la duan f
学術版	刮具o	skrap/il/o	L36990	【機】きさげ;スクレーパー
学術版	刮具o	skrapator/o	L55140	【PIV】= skrapmas^ino. Vd bagro.
学術版	前史o	antau^/histori/o	L58965	【PIV】= prahistorio 2 k 3.
学術版	前史o	prehistori/o	L58966	【PIV】= prahistorio 2 k 3.
学術版	前臼o	antau^/molar/o	L1942	【解】小臼歯,=malgranda mueldento
学術版	前臼o	premolar/o	L31754	【解】小臼歯,=antau^molaro
学術版	前话o	antau^/parol/o	L1947	（本の）序文,前書き;（講演などの）前口上
学術版	前话o	prolog/o	L32285	{Ｏ}【文】序言,序文,序章,プロローグ;序幕,（古典劇の）前口上,序詞,><epilogo
学術版	千年o	mil/jar/o	L25505	=>jarmilo（千年紀）
学術版	千年o	mileni/o	L52067	【PIV】1 Miljara dau^ro au^ datreveno. 2 Miljara reg
学術版	卑	fi	L10885	{Ｂ}［間］チェッ！
学術版	卑	fi-	L10886	{Ｂ}［間］チェッ！
学術版	原兽o	protozo/o	L53963	【PIV】Vd (vidu) zoo.
学術版	原兽o	pra/best/o	L57766	【PIV】Antau^historia besto.
学術版	原型o	pra/tip/o	L31649	原型,基本型,=prototipo
学術版	原型o	prototip/o	L32433	{Ｏ}原型,基本型,=pratipo;【機】試作品,プロトタイプ
学術版	反应使i	reakci/ig/i	L33187	［他］反応させる
学術版	反应使i	mal/dev/ig/i	L58028	【PIV】Fari, ke iu ne devu.
学術版	号具o	numerator/o	L27975	【数】分子,>>denominatoro
学術版	号具o	numer/il/o	L27978	ナンバリング（番号打ち器）
学術版	同性o	sam/ec/o	L35014	同一,同一性
学術版	同性o	gej/o	L48263	【PIV】(fm (familiara, familiare)) Samseksemulo.
学術版	同时a	sam/temp/a	L35067	同時の;同時代の
学術版	同时a	simultan/a	L55021	【PIV】Samtempe, sammomente okazanta: simultana tele
学術版	同时性o	sam/temp/ec/o	L35069	同時性;同時代性
学術版	同时性o	simultan/ec/o	L36658	【理】同時性,=samtempeco
学術版	后	post	L31364	{Ｂ}［前］（時間的に）〜の後に,〜の後で;（空間的に）〜の後ろに,〜の背後で
学術版	后	post-	L31365	{Ｂ}［前］（時間的に）〜の後に,〜の後で;（空間的に）〜の後ろに,〜の背後で
学術版	后卫o	post/gvardi/o	L31391	【軍】後衛,後衛部隊,殿軍,=ariergardo
学術版	后卫o	arier/o	L45266	【PIV】La malantau^a parto de armeo, tac^mento ks (k
学術版	后话o	epilog/o	L9752	{Ｏ}【芸】（小説などの）跋（ばつ）;終章,エピローグ,><prologo
学術版	后话o	post/parol/o	L31426	（本の）後書き,後記
学術版	和主义o	pacifism/o	L28936	{Ｏ}平和主義,=pacismo
学術版	和主义o	pac/ism/o	L28944	平和主義
学術版	和家o	pacifist/o	L28937	{Ｏ}平和主義者,=pacisto
学術版	和家o	pac/ist/o	L28945	平和主義者
学術版	喷泉o	fontan/o	L11584	{Ｂ}噴水;噴水装置
学術版	喷泉o	s^pruc/font/o	L39449	噴水,=fontano
学術版	因ᴾ	pro	L32092	{Ｂ}［前］〜のせいで,〜のために（原因）;〜の代価として,〜と引き換えに
学術版	因ᴾ	pro-	L32093	{Ｂ}［前］〜のせいで,〜のために（原因）;〜の代価として,〜と引き換えに
学術版	围句o	c^irkau^/fraz/o	L5638	遠回しの表現
学術版	围句o	perifraz/o	L53276	【PIV】C^irkau^frazo (ekz. (ekzemple): «kiam la koko
学術版	围测o	c^irkau^/mezur/o	L5652	周囲の長さ
学術版	围测o	perimetr/o	L29970	{Ｏ}【数】（平面図形の）周囲の長さ
学術版	地鼠o	talp/o	L39865	{Ｏ}【動】モグラ（土竜）（科の総称）;《転》暗闇で黙々と仕事をする人
学術版	地鼠o	ter/mus/o	L40426	《般》野ネズミ,=kampomuso
学術版	堵具o	s^top/il/o	L39604	（ビンなどの）栓;【電】プラグ
学術版	堵具o	obturator/o	L52619	【PIV】= fotoaparata obturilo.
学術版	壁纸o	mur/paper/o	L26470	壁紙
学術版	壁纸o	tapet/o	L39926	{Ｂ}壁紙,壁布;壁掛
学術版	外	krom	L20291	{Ｂ}［前］〜のほかは（〜を除いて）;〜のほかにも（〜を含めて）
学術版	外	krom-	L20292	{Ｂ}［前］〜のほかは（〜を除いて）;〜のほかにも（〜を含めて）
学術版	多倍a	mult/obl/a	L26418	多数倍の;多くの,多数の,>>multega
学術版	多倍a	poliploid/a	L53667	【PIV】= plurploida.
学術版	多色a	mult/kolor/a	L26408	多色の,多色刷りの,=multekolora
学術版	多色a	pleokro/a	L53569	【地質】【理】【PIV】(pp (se paroli pri) neizotropa kristal
学術版	多色性o	mult/kolor/ec/o	L26409	多色性;《転》多彩さ
学術版	多色性o	pleokro/ec/o	L53570	【PIV】Eco de kristalo pleokroa.
学術版	多角a	mult/angul/a	L26370	【数】多角形の
学術版	多角a	poligon/a	L53652	【建】【PIV】Konstruita sur plurangula plano: poligona 
学術版	多角o	mult/angul/o	L26371	【数】多角形,=plurangulo
学術版	多角o	poligon/o	L31058	{Ｏ}【植】タデ（蓼）（属）;【数】多角形,=plurangulo;《古》=fagopiro（ソバ）
学術版	太	tro	L41492	{Ｂ}［副］あまりに〜すぎる
学術版	太	tro-	L41493	{Ｂ}［副］あまりに〜すぎる
学術版	头a	kap/a	L17033	頭の
学術版	头a	-kap/a	L17034	頭の
学術版	头巾o	kap/tuk/o	L17158	ずきん（頭巾）,（頭にかぶる）スカーフ
学術版	头巾o	turban/o	L41794	{Ｏ}【服】ターバン
学術版	头皮o	kap/hau^t/o	L17060	頭皮
学術版	头皮o	skalp/o	L36846	{Ｏ}戦利頭皮,>>kaphau^to
学術版	如	kvazau^	L21091	{Ｂ}［接］まるで〜のように
学術版	如	kvazau^-	L21093	{Ｂ}［接］まるで〜のように
学術版	始	ek	L8176	［間］さあ！
学術版	始	ek-	L8177	［間］さあ！
学術版	姻	bo	L3941	{Ｏ}［文字名］ボー（文字B，bの名称）
学術版	姻	bo-	L3942	{Ｏ}［文字名］ボー（文字B，bの名称）
学術版	存主义o	ekzistencialism/o	L8737	【哲】=ekzistadismo（実存主義）
学術版	存主义o	ekzist/ism/o	L47103	【哲】【PIV】Doktrino, lau^ kiu la homo, kies ekzisto e
学術版	对	kontrau^	L19424	{Ｂ}［前］〜に向かって,〜に対して,〜に対抗して,〜に反して
