語根A	面A	層A	FA	語根B	面B	層B	FB	字A	字B	IoU	blur	マーク差
branĉ	枝	CSV2890	24	gimnazi	校ᴳ	CSV2890	4	枝	校	0.458	0.950	あり
verg	枝ⱽ	CSV2890	13	gimnazi	校ᴳ	CSV2890	4	枝	校	0.458	0.950	あり
pati	情	文法層	30	inert	惰	PEJVO	4	情	惰	0.534	0.956	なし
pasi	情ᴾˢ	CSV2890	7	inert	惰	PEJVO	4	情	惰	0.534	0.956	あり
humor	情ᴴ	CSV2890	18	inert	惰	PEJVO	4	情	惰	0.534	0.956	あり
emoci	情ᴱ	CSV2890	11	inert	惰	PEJVO	4	情	惰	0.534	0.956	あり
litr	升	CSV2890	7	apert	开ᴬ	PEJVO	4	升	开	0.551	0.948	あり
his	升ᴴ	PEJVO	6	apert	开ᴬ	PEJVO	4	升	开	0.551	0.948	あり
promoci	升ᴾ	PEJVO	9	apert	开ᴬ	PEJVO	4	升	开	0.551	0.948	あり
rab	抢	CSV2890	28	fusil	枪	PEJVO	4	抢	枪	0.507	0.972	なし
kom	逗	CSV2890	9	regres	退ᴿ	PEJVO	4	逗	退	0.518	0.961	あり
kom	逗	CSV2890	9	dekadenc	退ᴰᴷ	PEJVO	4	逗	退	0.518	0.961	あり
ŝerc	逗ˢ̂	CSV2890	13	regres	退ᴿ	PEJVO	4	逗	退	0.518	0.961	あり
ŝerc	逗ˢ̂	CSV2890	13	dekadenc	退ᴰᴷ	PEJVO	4	逗	退	0.518	0.961	あり
forĝ	锻	CSV2890	12	saten	缎	PEJVO	4	锻	缎	0.512	0.961	なし
forĝ	锻	CSV2890	12	damask	缎ᴰ	PEJVO	4	锻	缎	0.512	0.961	あり
vat	棉	CSV2890	16	brok	锦	PEJVO	4	棉	锦	0.564	0.968	なし
koton	棉ᴷ	CSV2890	20	brok	锦	PEJVO	4	棉	锦	0.564	0.968	あり
kunikl	兔ᴷ	CSV2890	4	imun	免	CSV2890	30	兔	免	0.897	0.980	あり
vesp	蜂ⱽ	CSV2890	4	alp	峰	PEJVO	12	蜂	峰	0.652	0.966	あり
diletant	好ᴰ	PEJVO	4	adult	奸ᴬ	PEJVO	8	好	奸	0.507	0.954	あり
barier	栏ᴮ	PEJVO	4	dig	拦	PEJVO	6	栏	拦	0.546	0.963	あり
dand	俏	CSV2890	8	flustr	悄	CSV2890	4	俏	悄	0.596	0.971	なし
bed	圃	PEJVO	6	stapl	囤	PEJVO	4	圃	囤	0.544	0.960	なし
ĉirkaŭ	围	文法層	71	akapar	囤ᴬ	PEJVO	3	围	囤	0.487	0.963	あり
peri	围ᴾ	PEJVO	13	akapar	囤ᴬ	PEJVO	3	围	囤	0.487	0.963	あり
sieg^	围ˢ	PEJVO	9	akapar	囤ᴬ	PEJVO	3	围	囤	0.487	0.963	あり
lign	木	CSV2890	51	taktik	术	CSV2890	3	木	术	0.680	0.969	なし
ksil	木ᴷ	PEJVO	6	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ĵaŭd	木ᴶ̂	CSV2890	3	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
muskat	木ᴹ	PEJVO	6	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
koka	木ᴷᴼᴷᴬ	PEJVO	5	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
grumis^am	木ᴳᴹ	PIV	3	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
andromed	木ᴬᴰ	PIV	3	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
klementin	木ᴷᴸᴱ	PIV	4	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
saturn	土ˢᵀ	PEJVO	3	kavalir	士	PEJVO	12	土	士	0.451	0.957	あり
saturn	土ˢᵀ	PEJVO	3	licenci	士ᴸ	PEJVO	4	土	士	0.451	0.957	あり
tre	很	文法層	4	radikl	根ᴿᴸ	PIV	3	很	根	0.614	0.974	あり
flank	侧	CSV2890	83	inversi	倒ᴵ	PEJVO	3	侧	倒	0.517	0.955	あり
pedo	童ᴾ	PEJVO	3	ide	意	CSV2890	31	童	意	0.481	0.948	あり
pedo	童ᴾ	PEJVO	3	senc	意ˢ	CSV2890	36	童	意	0.481	0.948	あり
pedo	童ᴾ	PEJVO	3	signif	意ˢᴳ	CSV2890	15	童	意	0.481	0.948	あり
pedo	童ᴾ	PEJVO	3	intenc	意ᴵᴺ	CSV2890	12	童	意	0.481	0.948	あり
ot	待	文法層	21	kelner	侍	CSV2890	3	待	侍	0.494	0.956	なし
atend	待ᴬ	CSV2890	15	kelner	侍	CSV2890	3	待	侍	0.494	0.956	あり
cikoni	鸟ᶜ	CSV2890	3	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
majn	鸟ᴹ	PEJVO	3	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
ornit	鸟ᴼ	PEJVO	3	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
pelikan	鸟ᴾᴸ	PEJVO	3	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
karadri	鸟ᴷᴵ	PIV	3	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
agrabl	快	CSV2890	10	grumel	块ᴳ	PIV	3	快	块	0.518	0.951	あり
alegr	快ᴬᴸ	PEJVO	4	grumel	块ᴳ	PIV	3	快	块	0.518	0.951	あり
roz	玫	CSV2890	35	ofensiv	攻ᴼ	PEJVO	3	玫	攻	0.527	0.952	あり
vitr	玻	CSV2890	53	talus	坡ᵀ	PEJVO	3	玻	坡	0.527	0.953	あり
arĝent	银	CSV2890	10	radikl	根ᴿᴸ	PIV	3	银	根	0.524	0.965	あり
bank	银ᴮ	CSV2890	34	radikl	根ᴿᴸ	PIV	3	银	根	0.524	0.965	あり
bol	沸	CSV2890	22	buda	佛ᴮᴬ	PEJVO	3	沸	佛	0.471	0.953	あり
