語根A	面A	層A	FA	語根B	面B	層B	FB	字A	字B	IoU	blur	マーク差
lavsoni	木ᴸⱽ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
lecitid	木ᴸᶜ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
lentisk	木ᴸˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
mangrov	木ᴹⱽ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
monodor	木ᴹᴼ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
palakvi	木ᴾᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pau^lini	木ᴾᵁ̆	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pinastr	木ᴾᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pistaci	木ᴾᶜ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ravenal	木ᴿⱽ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sviteni	木ˢⱽ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
taksodi	木ᵀᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
teobrom	木ᵀᴮ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
tibus^en	木ᵀˢ̂	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
akvifoli	木ᴬᶠ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
anakardi	木ᴬᴺᴬᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
artokarp	木ᴬᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
bugenvil	木ᴮⱽ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ceratoni	木ᶜᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
dalbergi	木ᴰᴮ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
dipterik	木ᴰᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
fortunel	木ᶠᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
gau^lteri	木ᴳᵁ̆	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
jaborand	木ᴶᴮ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
jakarand	木ᴶᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kalitris	木ᴷᴬᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kamerops	木ᴷᴬᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kaskaril	木ᴷᴬˢᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kazuaren	木ᴷᴬᶻ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kopaifer	木ᴷᴼᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ksiloste	木ᴷˢᴵ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
mangifer	木ᴹᶠ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
manilkar	木ᴹᴬ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
melaleu^k	木ᴹᵁ̆	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
miristik	木ᴹᴵ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
miroksil	木ᴹᴵᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pau^lovni	木ᴾⱽ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pilokarp	木ᴾᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pirakant	木ᴾᴬ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
podokarp	木ᴾᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
rambutan	木ᴿᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sasafras	木ˢˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
semekarp	木ˢᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sterkuli	木ˢᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
strofant	木ˢᴼ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kalam	木ᴷᴬᴸᴬ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
grosulari	木ᴳˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
astrakant	木ᴬˢᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
bertoleti	木ᴮᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
brunfelsi	木ᴮᶠ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
brusoneti	木ᴮᴼ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
cezalpini	木ᶜᶻ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
foradendr	木ᶠᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
hamamelid	木ᴴᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
krescenti	木ᴷᴿᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
mangostan	木ᴹᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
metroksil	木ᴹᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pterokarp	木ᴾᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
terminali	木ᵀᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
tetraklin	木ᵀᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
vikstremi	木ⱽᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
hipokastan	木ᴴˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
cercidifil	木ᶜᶠ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
eritroksil	木ᴱᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
hematoksil	木ᴴᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
klerodendr	木ᴷᴸᴱᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
liriodendr	木ᴸᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
dipterokarp	木ᴰᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
arktostafil	木ᴬᴼ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kameciparis	木ᴷᴬᴹᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
likvidambar	木ᴸᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sekvojadendr	木ˢᴶ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ulm	木ᵁ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
gink	木ᴳᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
baobab	木ᴮᴮ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sekvoj	木ˢᴱᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
santal	木ˢᴬᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kinkon	木ᴷᴵᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
mahagon	木ᴹᴴ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
forsiti	木ᶠᴼ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
gardeni	木ᴳᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
eŭkalipt	木ᴱᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
tamarind	木ᵀᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
palisandr	木ᴾᴬᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kriptomeri	木ᴷᴿᴵ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
lagerstrom	木ᴸᴳ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
disjunkci	或ᴰ	PIV	1	abstin	戒	CSV2890	8	或	戒	0.483	0.962	あり
flank	侧	CSV2890	83	anastrof	倒ᴬ	PEJVO	1	侧	倒	0.517	0.955	あり
ot	待	文法層	21	grum	侍ᴳ	PEJVO	1	待	侍	0.494	0.956	あり
atend	待ᴬ	CSV2890	15	grum	侍ᴳ	PEJVO	1	待	侍	0.494	0.956	あり
turd	鸟ᵀ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
upup	鸟ᵁ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
paru	鸟ᴾ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
oriol	鸟ᴼᴸ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
sturn	鸟ˢᵀ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
galbul	鸟ᴳ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
tetraon	鸟ᵀᵀ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
merl	鸟ᴹᴱ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
otid	鸟ᴼᵀ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
menur	鸟ᴹᴺ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
merop	鸟ᴹᴾ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
vanel	鸟ⱽ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kolibr	鸟ᴷᴮ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
botau^r	鸟ᴮᵀ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
marabu	鸟ᴹᴮ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
falarop	鸟ᶠᴬ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
glareol	鸟ᴳᴿ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
palmiped	鸟ᴾᴹ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
frankolin	鸟ᶠᴷ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
fraterkul	鸟ᶠᵀ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
gastornit	鸟ᴳˢ	PEJVO	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
au^k	鸟ᴬᵁ̆	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
did	鸟ᴰ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
gip	鸟ᴳᴾ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
sul	鸟ˢᴸ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
uri	鸟ᵁᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
c^eti	鸟ᶜ̂	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
jing	鸟ᴶ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kiti	鸟ᴷᵀ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
krek	鸟ᴷᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
lani	鸟ᴸ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
lori	鸟ᴸᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
merg^	鸟ᴹᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
pipi	鸟ᴾᴾ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
tinam	鸟ᵀᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
cinkl	鸟ᶜᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
alced	鸟ᴬᴸ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
ploce	鸟ᴾᶜ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
bufag	鸟ᴮᶠ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
agami	鸟ᴬᴳ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
bucer	鸟ᴮᶜ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
certi	鸟ᶜᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
cirku	鸟ᶜᵁ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
elani	鸟ᴱ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
fitis	鸟ᶠ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kreks	鸟ᴷˢ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kuruk	鸟ᴷᵁ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
lagop	鸟ᴸᴳ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
limoz	鸟ᴸᴹ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
nandu	鸟ᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
nikte	鸟ᴺᴷ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
pirul	鸟ᴾᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
pufin	鸟ᴾᶠ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
serin	鸟ˢᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
s^tern	鸟ˢ̂	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
tring	鸟ᵀᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
katart	鸟ᴷᴬ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
koraci	鸟ᴷᶜ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
avocet	鸟ᴬⱽ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
bantam	鸟ᴮᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
bonazi	鸟ᴮᶻ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
c^ifc^af	鸟ᶜ̂ᶠ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
fulmar	鸟ᶠᴸ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
hipola	鸟ᴴ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
jabiru	鸟ᴶᴮ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kairin	鸟ᴷᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kalidr	鸟ᴷᴸ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kvecal	鸟ᴷⱽ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
litorn	鸟ᴸᵀ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
numeni	鸟ᴺᴹ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
petrel	鸟ᴾᵀ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
pronel	鸟ᴾᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
rubetr	鸟ᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
sirapt	鸟ˢᴾ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
tadorn	鸟ᵀᴰ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
tangar	鸟ᵀᴳ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
alektor	鸟ᴬᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
bernikl	鸟ᴮᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
cirkaet	鸟ᶜᵀ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
diomede	鸟ᴰᴹ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
dromice	鸟ᴰᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
fenikur	鸟ᶠᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
galinag	鸟ᴳᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
haliaet	鸟ᴴᴸ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
hematop	鸟ᴴᴹ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
karduel	鸟ᴷᴰ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
neofron	鸟ᴺᶠ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
pinikol	鸟ᴾᴷ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
platale	鸟ᴾᴬ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
porfiri	鸟ᴾᴼ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
pterokl	鸟ᴾᴱ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
lagopod	鸟ᴸᴰ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
bobolink	鸟ᴮᴮ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
bombicil	鸟ᴮᴹ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
himantop	鸟ᴴᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
lokustel	鸟ᴸᴷ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
nucifrag	鸟ᴺᶜ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
perisore	鸟ᴾˢ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
saksikol	鸟ˢˢ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
somateri	鸟ˢᴹ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
tinunkol	鸟ᵀᴷ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
pirokorak	鸟ᴾᴵ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
falaropod	鸟ᶠᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kokotrau^st	鸟ᴷᴷ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
melopsitak	鸟ᴹᴸ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
poliplektr	鸟ᴾᴼᴸ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
serpentari	鸟ˢᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
sterkorari	鸟ˢᴷ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
himantopod	鸟ᴴᴰ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
ptilonorink	鸟ᴾᵀᴵ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
streptopeli	鸟ˢᴱ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
emu	鸟ᴱᴹ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
guf	鸟ᴳᶠ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
alka	鸟ᴬᴬ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kurl	鸟ᴷᵁᴿ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
ibis	鸟ᴵ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
antus	鸟ᴬᴺ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
krakt	鸟ᴷᴿᴬ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
dromaj	鸟ᴰᴶ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
mergul	鸟ᴹᴳ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
tanagr	鸟ᵀᴬ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kondor	鸟ᴷᴼ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
koturn	鸟ᴷᴼᵀ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
h^aradri	鸟ᴴ̂	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
bukorak	鸟ᴮᴷ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kormoran	鸟ᴷᴹ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
albatros	鸟ᴬᴮ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
hipsipet	鸟ᴴˢ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
fenikopter	鸟ᶠᴾ	PIV	1	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
piĵam	睡ᴾ	CSV2890	1	saliv	唾	PEJVO	7	睡	唾	0.613	0.968	あり
tifon	风ᵀᶠ	PIV	1	feniks	凤	PEJVO	2	风	凤	0.484	0.978	あり
kat	猫	CSV2890	27	piktur	描ᴾᴷ	PIV	1	猫	描	0.503	0.940	あり
felis	猫ᶠ	PEJVO	1	pentr	描	CSV2890	23	猫	描	0.503	0.940	あり
felis	猫ᶠ	PEJVO	1	piktur	描ᴾᴷ	PIV	1	猫	描	0.503	0.940	あり
feloid	猫ᶠᴰ	PEJVO	1	pentr	描	CSV2890	23	猫	描	0.503	0.940	あり
feloid	猫ᶠᴰ	PEJVO	1	piktur	描ᴾᴷ	PIV	1	猫	描	0.503	0.940	あり
cirkonferenc	圆ᶜᴺ	PEJVO	1	bed	圃	PEJVO	6	圆	圃	0.532	0.965	あり
vitr	玻	CSV2890	53	gradient	坡ᴳ	PEJVO	1	玻	坡	0.527	0.953	あり
glac	玻ᴳ	PEJVO	2	gradient	坡ᴳ	PEJVO	1	玻	坡	0.527	0.953	なし
vitre	玻ⱽᴱ	PIV	2	gradient	坡ᴳ	PEJVO	1	玻	坡	0.527	0.953	あり
c^ampan	酒ᶜ̂	PEJVO	1	asperg	洒	PEJVO	2	酒	洒	0.558	0.978	あり
vodk	酒ⱽᴰ	PEJVO	1	asperg	洒	PEJVO	2	酒	洒	0.558	0.978	あり
fot	拍	CSV2890	87	taksus	柏ᵀ	PEJVO	1	拍	柏	0.622	0.973	あり
takt	拍ᵀ	CSV2890	17	taksus	柏ᵀ	PEJVO	1	拍	柏	0.622	0.973	なし
raked	拍ᴿ	CSV2890	1	cipres	柏	PEJVO	2	拍	柏	0.622	0.973	あり
raked	拍ᴿ	CSV2890	1	taksus	柏ᵀ	PEJVO	1	拍	柏	0.622	0.973	あり
ikt	拍ᴵ	PIV	2	taksus	柏ᵀ	PEJVO	1	拍	柏	0.622	0.973	あり
piktur	描ᴾᴷ	PIV	1	ankr	锚	PEJVO	14	描	锚	0.464	0.965	あり
litani	祈ᴸ	PEJVO	1	fald	折	CSV2890	36	祈	折	0.518	0.966	あり
litani	祈ᴸ	PEJVO	1	rabat	折ᴿ	CSV2890	10	祈	折	0.518	0.966	あり
litani	祈ᴸ	PEJVO	1	zigzag	折ᶻ	PEJVO	5	祈	折	0.518	0.966	あり
litani	祈ᴸ	PEJVO	1	refrakt	折ᴿᶠ	PEJVO	14	祈	折	0.518	0.966	あり
litani	祈ᴸ	PEJVO	1	plis	折ᴾ	PEJVO	3	祈	折	0.518	0.966	あり
litani	祈ᴸ	PEJVO	1	analiz	析	CSV2890	13	祈	析	0.488	0.959	あり
litani	祈ᴸ	PEJVO	1	skand	析ˢ	PEJVO	2	祈	析	0.488	0.959	あり
litani	祈ᴸ	PEJVO	1	analitik	析ᴬᵀ	PEJVO	3	祈	析	0.488	0.959	あり
inspektor	检ᴵ	CSV2890	1	kran	栓	CSV2890	9	检	栓	0.505	0.950	あり
inspektor	检ᴵ	CSV2890	1	bolt	栓ᴮ	PEJVO	7	检	栓	0.505	0.950	あり
inspektor	检ᴵ	CSV2890	1	rigl	栓ᴿ	PEJVO	7	检	栓	0.505	0.950	あり
inspektor	检ᴵ	CSV2890	1	embol	栓ᴱ	PEJVO	3	检	栓	0.505	0.950	あり
inspektor	检ᴵ	CSV2890	1	dubel	栓ᴰ	PIV	2	检	栓	0.505	0.950	あり
sapor	味ˢ	PIV	1	miaŭ	咪	CSV2890	3	味	咪	0.485	0.967	あり
muŝ	蝇	CSV2890	20	vespert	蝠	PEJVO	1	蝇	蝠	0.523	0.944	なし
muŝ	蝇	CSV2890	20	filostom	蝠ᶠ	PIV	1	蝇	蝠	0.523	0.944	あり
muŝ	蝇	CSV2890	20	vespertilion	蝠ⱽᴸ	PIV	1	蝇	蝠	0.523	0.944	あり
sirfed	蝇ˢ	PEJVO	1	vespert	蝠	PEJVO	1	蝇	蝠	0.523	0.944	あり
sirfed	蝇ˢ	PEJVO	1	filostom	蝠ᶠ	PIV	1	蝇	蝠	0.523	0.944	あり
sirfed	蝇ˢ	PEJVO	1	vespertilion	蝠ⱽᴸ	PIV	1	蝇	蝠	0.523	0.944	あり
krabr	蜂ᴷ	PEJVO	1	alp	峰	PEJVO	12	蜂	峰	0.652	0.966	あり
