r	rk	y	yk	r_gloss	y_gloss
postic^	伪	imit	仿	=falsaj^o（模造品）,=imitaj^o	{Ｂ}［他］まねる,模倣する;見習う;模造する
potas	钾碱	kau^stik	蚀	{Ｏ}【化】灰汁（あく）,カリ（炭酸カルシウムの俗称）;=kau^sti	【化】苛性（かせい）の,腐食性の;《転》辛辣（しんらつ）な,痛烈な
povr	贫	kompat	怜	《詩》=kompatinda（哀れな）;=malric^a（貧しい）	慈悲の,哀れみの
preskrib	规	recept	方	{Ｂ}［他］（法などが）命じる,規定する;【医】処方する,=recept	［他］【医】処方する,=preskribi
primar	原	paleozoik	古生	【学】第一の,一次の,原初の,最初の,>>sekundara;《古》第一	古生代の
princ	侯	reg	治	君主の;君主にふさわしい	【機】制御の;【生】優性の
proced	办	procez	程	{Ｂ}［自］手順を進める,処理を行う	経過,過程,進展,成り行き,>>progresado;【情】プロセス
procedur	程	jug	束缚	［自］訴訟手続をとる	［他］くびきにつける;束縛する;隷属させる
procent	率	interez	利	{Ｂ}パーセント,=elcento;利率,利回り;利息,利子,=inte	【経】利子,利息,金利,=rentumo;利潤
progresi	进	vic	列	【数】数列,=vico	列になって,順に並んで
prohibici	禁	leg	读	［他］【法】（製造・売買を法的に）禁止する,=leg^e malperm	{Ｂ}［他］読む,音読する;読み取る,解読する;【情】読み取る
promoci	升	rang	级	［他］昇進させる,進級させる,=rangaltigi;【遊】（ポーンをク	［自］〜の位にある
promoci	升	dam	妃	［他］昇進させる,進級させる,=rangaltigi;【遊】（ポーンをク	{Ｏ}貴婦人;（中世の）身分の高い女性への尊称;【遊】（トランプ、チェス
propedeu^tik	预科	prepar	备	予備教育の	準備の
proviant	粮	proviz	供	［他］（軍隊に）食糧を補給する,=provizumi	予備の
pup	偶	gant	手套	{Ｂ}人形;指人形,=gantopupo;【虫】さなぎ（蛹）;《転》（軽	［他］手袋をはめる
radik	根	radikal	彻	根の;《転》根本的な,根源的な;【植】根生の;【Ｇ】語根の;【数】根の	{Ｏ}根本的な,徹底的な;【政】急進的な,急進派の,過激な
radi	射	radius	半径	ラジオ（放送）の	【数】半径の;【解】橈骨の
reakci	反应	rea	美洲鸵	反動的な;反動の,反応の	【動】【PIV】G. (Genro) (Rhea) de S-Ameri
reaktor	反应堆	reakci	反应	【化】反応装置;【理】原子炉;【空】ジェットエンジン,=reakcimo	反動的な;反動の,反応の
redakci	部	redakt	编	編集部の	{Ｂ}［他］（記事・文書を）書く,まとめる;（新聞・雑誌を）編集する
reflekt	反射	simetri	称	【理】反射の	左右対称の,均斉のとれた
reflektor	镜	reflekt	反射	【車】ヘッドライト;=reflektilo（反射鏡）	【理】反射の
