# PEJVO層に残る未割当の生物名語根 = 384件
# 列: 語根 / 分野 / F(出現語数) / 代表語釈 / 出現語(最大6)
helikriz	【植】	F=1	【植】ムギワラギク（属）,ヘリクリサム,=eternofloro	helikriz/o
hemerokal	【植】	F=1	【植】=hemerokalido（キスゲ）	hemerokal/o
hemerokalid	【植】	F=1	【植】キスゲ（属）,カンゾウ,ヘメロカリス	hemerokalid/o
herakle	【植】	F=1	【植】ハナウド（属）	herakle/o
herbari	【植】	F=1	【植】植物標本集,=herbokolekto	herbari/o
hidrange	【植】	F=1	【植】アジサイ（属）,>>hortensio	hidrange/o
hilum	【植】	F=1	【植】へそ（種子が胎座につく点）;【解】門	hilum/o
hiperik	【植】	F=1	【植】オトギリソウ（属）	hiperik/o
hisop	【植】	F=1	{Ｏ}【植】ヒソップ,ヤナギハッカ;【聖】ヒソップ（その小枝を清めに用いた）	hisop/o
hormin	【植】	F=1	【植】ホルミヌム（属，南欧の高山植物）	hormin/o
hortensi	【植】	F=1	{Ｏ}【植】アジサイ（紫陽花，種）,=grandfolia hidrangeo	hortensi/o
hotujni	【植】	F=1	《Ｎ》【植】ドクダミ（属，_Houttuynia_）	hotujni/o
ignam	【植】	F=1	【植】ヤマイモ,ヤムイモ（ヤマノイモ属植物の食用部分）,>>dioskoreo	ignam/o
ilici	【植】	F=1	【植】シキミ（属）	ilici/o
indigofer	【植】	F=1	【植】コマツナギ（属，インドアイを含む）	indigofer/o
jasmen	【植】	F=1	{Ｏ}【植】ジャスミン,ソケイ（属）	jasmen/o
jonkvil	【植】	F=1	【植】キズイセン（種）,>>narciso,>>dafodilo	jonkvil/o
juka	【植】	F=1	【植】ユッカ,イトラン（糸蘭）（属）	juka/o
junk	【植】	F=1	{Ｏ}【植】イグサ（属）	junk/o
kalendul	【植】	F=1	{Ｏ}【植】キンセンカ（属）	kalendul/o
kalistef	【植】	F=1	【植】エゾギク,アスター	kalistef/o
kampanul	【植】	F=1	【植】カンパニュラ,ホタルブクロ（属）	kampanul/o
kampec^	【植】	F=1	【植】ロッグウッド（中米産マメ科小高木、心材・染料をとる）	kampec^/o
kapitul	【植】	F=1	【植】頭状花序,頭花	kapitul/o
kapsel	【植】	F=1	【植】ナズナ	kapsel/o
kardamin	【植】	F=1	【植】タネツケバナ（属）	kardamin/o
kardon	【植】	F=1	【植】カルドン（チョウセンアザミ属の一種，食用にする）,>>artis^oko	kardon/o
karlin	【植】	F=1	【植】チャボアザミ（属）	karlin/o
karpen	【植】	F=1	{Ｏ}【植】クマシデ（属）	karpen/o
karvi	【植】	F=1	【植】キャラウェー,ヒメウイキョウ（姫茴香）（種）;【料】キャラウェー（の実）	karvi/o
keirant	【植】	F=1	【植】ニオイアラセイトウ（属）,ケイランサス	keirant/o
kelidoni	【植】	F=1	【植】クサノオウ（属）	kelidoni/o
kiker	【植】	F=1	【植】ヒヨコマメ	kiker/o
kinu	【植】	F=1	【植】キヌア,キノア（アカザ属の一種、アンデス地方原産の穀物）,=kvinoo【私家版】	kinu/o
kladoni	【植】	F=1	【植】ハナゴケ（属）	kladoni/o
klemat	【植】	F=1	【植】=klematido	klemat/o
klematid	【植】	F=1	【植】クレマチス,センニンソウ（属）	klematid/o
konferv	【植】	F=1	【植】アオミドロ（など糸状の緑藻類の旧称）,>>spirogiro	konferv/o
konifer	【植】	F=1	【植】針葉樹類,球果植物,>>pinglarbo	konifer/oj
konvolvul	【植】	F=1	{Ｏ}【植】セイヨウヒルガオ（属）;《般》ヒルガオ（の類）,>>kalistegio	konvolvul/o
kramb	【植】	F=1	【植】ハマナ（属）（浜菜）	kramb/o
kratag	【植】	F=1	{Ｏ}【植】サンザシ（属）（山査子）	kratag/o
krepid	【植】	F=1	【植】フタマタタンポポ（属）,クレピス	krepid/o
kriptogam	【植】	F=1	【植】隠花植物,><fanerogamoj	kriptogam/oj
kriptoteni	【植】	F=1	《Ｎ》【植】ミツバ（genro _Cryptotaenia_ el apiacoj，de plurjaraj herbo	kriptoteni/o
krucifer	【植】	F=1	【植】十字花科（旧称）,=brasikacoj（アブラナ科）	krucifer/oj
kumin	【植】	F=1	{Ｏ}【植】クミン（属）	kumin/o
kupul	【植】	F=1	【植】殻斗（かくと）,（ドングリなどの）へた	kupul/o
kvino	【植】	F=1	【植】キヌア,キノア（アカザ属の一種、アンデス地方原産の穀物）,=kinuo【私家版】	kvino/o
lagenari	【植】	F=1	【植】ユウガオ（属）;ヒョウタン,>>kalabaskukurbo	lagenari/o
laminari	【植】	F=1	【植】コンブ（属）（昆布）	laminari/o
leguminoz	【植】	F=1	【植】マメ科,=fabacoj	leguminoz/oj
lent	【植】	F=1	{Ｏ}【植】レンズマメ（属）;《般》レンズ豆	lent/o
leontod	【植】	F=1	{Ｏ}【植】タンポポ（種）,=buterfloro	leontod/o
lian	【植】	F=1	{Ｏ}【植】つる植物,つる（蔓）	lian/o
liknid	【植】	F=1	【植】センノウ（属）	liknid/o
likorid	【植】	F=1	《Ｎ》【植】ヒガンバナ（属，_Lycoris_）（彼岸花）	likorid/o
lobeli	【植】	F=1	【植】ロベリア,ミゾカクシ（属）	lobeli/o
lodikl	【植】	F=1	【植】鱗被（りんぴ）	lodikl/o
lonicer	【植】	F=1	{Ｏ}【植】スイカズラ（属）（忍冬）	lonicer/o
luf	【植】	F=1	【植】ヘチマ	luf/o
lunari	【植】	F=1	【植】ルナリア（属）,ギンセンソウ（銀扇草）	lunari/o
lupen	【植】	F=1	【植】ルピナス,ハウチワマメ（属）	lupen/o
luzern	【植】	F=1	【植】ムラサキウマゴヤシ（種）,アルファルファ,>>medikago	luzern/o
