char	root1	band1	gloss1	root2	band2	gloss2
矛	halebard	pejvo	{Ｏ}【軍】ほこやり（矛槍）	lanc	basic	{Ｏ}槍（やり）;銛（もり）;【遊】（将棋の）香車
明	morgau^		明日の;《転》将来の	eksplicit	pejvo	明示された,=malimplicita
迷	zelot	pejvo	《転》熱心なファン,（サッカーの）サポーター【私家版】	superstic^		迷信的な,迷信深い
模	model	basic	模範的な	s^ablon	pejvo	ひな型の,型から作った;紋切型の,月並みの
盲	anopsi	piv	【医】【PIV】Perdo de la vido.	blind	basic	{Ｂ}盲目の;《転》盲目的な（差別的表現なので避けるべき）,=>senkritika,=>malprudenta
目	okul	basic	目の	oftalm	pejvo	【解】【PIV】Okulo 1.
役	kampanj	pejvo	［自］キャンペーンを張る	servut	pejvo	賦役の,農奴労働の
柳	vimen	pejvo	【植】タイリクキヌヤナギ（大陸絹柳）（種）;《般》（柔らかい）柳の枝	salik	basic	{Ｂ}【植】ヤナギ（柳）（属）
愈	des	basic	(語釈なし)	konvalesk	piv	【医】【PIV】Transiro de la malsana al la sana stato.
勇	kurag^		{Ｂ}勇気ある,勇敢な,度胸のある,元気な	brav	basic	{Ｂ}勇敢な,勇ましい,りりしい;実直な,律義な;りっぱな
幼	neoten	piv	【生】【PIV】Konservanta larvajn au^ junecajn karakterojn, kvankam kapabla sin reprodukti: akso	jun	basic	{Ｂ}若い,年の若い,年少の,幼い
容	kapacit	pejvo	【理】容量,容積;【電】電気容量	mien	basic	［自］顔つきをしている;（〜のように）見える,>>aspekti
翼	plane	pejvo	【空】翼板,翼（よく）	al	prep	（飛行機の）翼（つばさ）,（プロペラ・風車の）羽根,（建物・陣形の）翼（よく）;【解】鼻翼,小鼻
落	decidu	piv	【植】【動】【PIV】Defalema.	fal	basic	{Ｂ}［自］落ちる,落下する;倒れる,転ぶ;降る;《転》滅びる
酪	krem	basic	クリーム入りの;クリーム状の	fromag^		{Ｂ}【料】チーズ
李	prunus	pejvo	【植】【PIV】G. (Genro) (Prunus el rozacoj) de falfoliaj k dau^rafoliaj arboj k arbustoj kun si	prun	basic	{Ｂ}【果】西洋すもも,すもも（李）,プラム
率	procent	basic	{Ｂ}パーセント,=elcento;利率,利回り;利息,利子,=interezo	susceptibl	pejvo	【理】磁化されうる
力	potenc	basic	強力な,威力のある;有力な,権力のある,強大な	dinamik	pejvo	力学の,動的な
露	ros	basic	［自］（無主語）露がおりる	ekshibici	piv	【PIV】Emo sin montri, aparte en erotika situacio: en la normala seksa vivo la ekshibicio lu
老	senil	pejvo	【病】老人性認知症	veteran	basic	老練な,長く経験を積んだ,ベテランの
湾	sinu	piv	【PIV】C^iu el la kurbaj^oj, fleksoj de vojo, rivero ks (kaj simile, kaj similaj): (f (figur	golf	basic	ゴルフクラブ
舒	komfort	basic	{Ｂ}快適な,心地よい,安楽な	diastol	pejvo	【医】拡張期血圧,=malsupra premo
佛	buda	pejvo	【仏】=Budho（仏陀）	budh	basic	仏像
假	fint	pejvo	［自］牽制する,フェイントをかける,>>s^ajnigi	feri	basic	休日の
