char	root1	gloss1	root2	gloss2
逗	kom	【地名】コモ湖（イタリア）	s^erc	冗談の,おどけた
吹	blov	{Ｂ}［自］（風が）吹く,息を吐く;［他］吹く,吹き鳴らす	blag	［自］でたらめをいう,ほらを吹く
睡	pij^am	{Ｏ}【服】パジャマ,>>noktoc^emizo	dorm	{Ｂ}［自］眠っている;《転》休止している
衰	atenu	【電】減衰指数,減衰定数	kah^eksi	【医】【PIV】Grava perturbo de c^iuj funkcioj
誓	j^ur	誓約した;宣誓した	vot	誓いの,誓願の
青	livid	【医】【PIV】Havanta koloron blanketan, iom v	cian	【化】シアン
税	impost	税収	akciz	［他］【経】消費税を課す
千	mil	千	kilometr	{Ｂ}【単】キロメートル（km）
潜	plong^	{Ｂ}［自］（水に）飛び込む,ダイビングする;【空】急降下する	latent	潜在的な,隠れた;【医】潜伏性の,潜伏期の
腺	aden	【地名】アデン湾（アラビア半島南部）	gland	{Ｏ}【解】腺
粗	rasp	ざらざらした,きめの粗い;《転》しわがれた,ごつごつした	krud	{Ｂ}生の,未加工の;粗野な,荒々しい
霜	prujn	霜の	frost	厳寒の,凍りつくような
像	statu	{Ｂ}立像,彫像	s^ajn	見かけの,外見上の
促	forc	［他］【農】促成栽培する	akcel	{Ｂ}［他］加速する,促進する,>>plirapidigi
即	ekstemporal	即座に,即席で	tuj	すぐの,即時の
属	aparten	{Ｂ}［自］（〜 al）〜のものである;〜に所属する	genr	{Ｏ}【Ｇ】性;【生】（分類学上の）属
托	korbel	【建】持送り積み	kolb	【軍】（銃床の）床尾（しょうび）
探	esplor	{Ｂ}［他］探検する,踏査する;調査する,探究する,研究する;【医】診査する,（	sond	{Ｏ}［他］（機具で深い所を）探る,調査する;【海】（測鉛で）測深する;【医】（
炭	brag^	おき,消し炭	karb	{Ｂ}炭,石炭,木炭
短	kurt	《詩》=mallonga（短い）	efemer	{Ｏ}はかない,束の間の,一日限りの
胆	gal	胆汁の;胆汁質の;ひどく苦い	kole	【化】【医】【PIV】Galo 1 (pref-e (prefikse) uza
断	intermit	断続的な,間欠的な	asert	{Ｂ}［他］断言する,主張する
知	gnostik	【PIV】1 Unua provo de kristana teologio: 	sci	{Ｂ}［他］知っている,知識がある;心得ている,〜できる
逐	proskrib	［他］追放する,=ekzili;=malpermesi;=eksterleg^i	ekzil	{Ｏ}［他］祖国から追放する,>>proskribi,>>elpeli
窒	asfiksi	［他］【医】窒息させる	sufok	窒息するような,息苦しい,息詰まる
抽	ekstrakt	［他］抽出する;抜粋する,引用する	abstrakt	{Ｏ}抽象的な,><konkreta;観念的な;【美】抽象派の
兆	bilion	（米英で）十億,=miliardo;（独仏で）一兆,=duiliono,=mil	megom	【電】=megaomo（メガオーム）
跳	kapriol	［自］跳ね回る,跳躍する	salt	{Ｂ}［自］跳ぶ,跳び上がる,跳躍する;飛び移る,飛びのく;《転》飛躍する;《転
痛	dolor	痛い,痛ましい	algi	【医】【PIV】Doloro (suf-e (sufikse) uzata): 
爪	klik	【機】歯止め,爪（つめ）;（排他的な）徒党,一味,派閥	ung	［他］つめを立てる,ひっかく,>>ungograti,>>ungovundi
低	bas	【楽】バスの,低音の;《詩》=malalta（低い）	depresi	【経】不況,不景気;【医】=deprimo（うつ病）
提	menci	{Ｂ}［他］言及する,ちょっと触れる,名を挙げる	suflor	［他］せりふを付ける;《転》そっと教える,耳打ちする
艇	jakt	【海】ヨット	jah^t	【海】=jakto（ヨット）
摘	pluk	［他］（花や実を）摘む,摘みとる,>>des^iri;つまみ上げる;【楽】（ハー	enukle	［他］【医】（腫瘍・眼球などを）摘出する
笛	fajf	{Ｂ}［自］（高く鋭い音を出すこと）口笛を吹く,指笛を吹く;警笛を鳴らす,汽笛を	flut	［自］フルートを吹く;［他］フルートで演奏する
哲	filozof	［自］=filozofii（哲学する）;達観する	filozofi	哲学的な
田	hub	【史】小農地,フーフェ（中世ヨーロッパで農民に割り当てられた土地）	kamp	【植】ルリハコベ
堵	s^top	{Ｂ}［他］（穴・隙間などを）ふさぐ,栓をする,詰め物をする,埋める;ふさいで邪	obtur	【写】シャッター速度
徒	adept	{Ｏ}（学説・教義の）信奉者;（思想・運動の）支持者,仲間,同志	van	{Ｂ}実りのない,むだな;むなしい,実質を伴わない
怒	kolerik	【医】【PIV】Apartenanta al unu el la kvar te	koler	怒りの,立腹した,怒っている
倒	kusp	毛並みに逆らって,逆に	inversi	［他］倒置する
投	spekul	投機的な	j^et	{Ｂ}［他］投げる;投げ出す,まき散らす;（勢いよく無造作に）押しやる,突き出す
灯	lamp	【化】灯油,ケロシン,=keroseno	lucern	{Ｏ}つりランプ;《転》傑出した人物
当	lombard	［他］質入れする	dej^or	【日】用番老中（ようばんろうじゅう）【私家版】
痘	variol	{Ｏ}【病】天然痘,痘瘡（とうそう）	akn	{Ｂ}にきび,吹き出物（ふきでもの）
橡	kverk	{Ｂ}【植】ナラ（楢）,カシ（樫）,オーク;【植】コナラ属	glan	{Ｏ}【植】カシの実,どんぐり;【解】亀頭
任	kapric	気まぐれな,移り気な;予測できない	investitur	［他］（儀式を伴って）任命する,>>enoficigi
猫	kat	猫の,猫のような	felis	【動】ネコ属（の動物）,>>kato
燃	brul	燃えるような,燃焼の	fuel	【技】【PIV】Solida, likva au^ gasa substanco
粘	viskoz	粘り気のある;【理】粘性の	muk	{Ｏ}【生】（粘膜から分泌される）粘液
破	c^ifon	ぼろぼろの	romp	{Ｂ}［他］破壊する,壊す,割る,折る,破る;断つ,断絶する;《転》（勇気・無関
背	parker	{Ｏ}暗記して,暗記で	dors	背の,裏の
肺	pneu^mon	【医】【PIV】Pulmo (en kunmetaj^oj).	pulm	肺の
倍	obl	【数】倍数	ploid	【生】【PIV】Nombro de homologaj serioj de la
媒	medium	霊媒の	svat	{Ｂ}［他］（職業的に）結婚を仲介する,仲人する
博	erudici	学識豊かな,博識の	doktor	博士の
八	okta	(語釈なし)	ok	第八の,八番目の
半	hemi	(語釈なし)	semi	(語釈なし)
卑	fi	下劣な,いやらしい	trivial	{Ｏ}野卑な,下卑た,卑俗な,低俗な,>>banala,>>vulgara
批	ratif	［他］=ratifiki（批准する）	ratifik	［他］【政】批准する
比	ol	(語釈なし)	proporci	釣り合いのとれた;比例した
避	rifug^	{Ｂ}［自］避難する,逃げ込む,保護を求める;亡命する	evit	{Ｂ}［他］避ける,回避する,
尾	vost	尾の;《転》後尾の	kulas	【軍】銃尾,砲尾,遊底,=postumo;【機】（内燃機関の）シリンダーヘッド
菱	romb	{Ｏ}【数】菱形（ひしがた）;【魚】=rombofis^o（ヒラメの一種）	lozang^	{Ｏ}（紋章の）菱形紋;（宝石の）菱形面;（ひし形の）糖衣錠,=pastelo;
百	centezimal	【数】百分法の,百進法の	cent	百番目の
豹	panter	{Ｏ}【動】ヒョウ（豹）（種）=leopardo;ヒョウ（属）	leopard	{Ｏ}【動】ヒョウ（豹）,=pantero
病	morb	【医】症候群	pati	【医】【PIV】Kn (Kolektiva nomo) de malsanoj,
敏	prompt	【PIV】Aganta, efikanta tuj, senprokraste,	sagac	{Ｂ}明敏な,賢明な,巧妙な,抜け目のない
富	ric^	{Ｂ}金持ちの,富んだ,裕福な;豪華な,高価な;豊かな,豊富な	oz	【化】【PIV】Monosakarido; malofte uzata mems
怖	teror	【政】テロル,テロ,組織的暴力	horor	身の毛もよだつ,戦慄すべき
浮	pelag	【生態】【PIV】Vivularo de la akvomaso de maro	bu	［他］【海】浮標を設置する
副	adverb	{Ｂ}【Ｇ】副詞,>>e-vorto	akcesor	{Ｏ}副の,副次的な,付随的な,>>flanka
福	beat	至福の;【カ】福者の列に加えられた	elize	エリジウムの;至福の,喜びに満ちた
腹	ventr	腹の,腹部の	lapar	【医】【PIV】Abdomeno (en kunmetaj^oj).
覆	mulc^	［他］【農】（作物に）敷き藁を敷く,マルチングする	teg	{Ｂ}［他］（布・皮などで）上張りする,覆いをする
物	aj^	物,事物,ものごと,>>objekto	objekt	物体の
柄	ans	（水差し・つぼ・引き出し・ドアなどの）取っ手,>>tenilo	stip	{Ｏ}【植】ハネガヤ（羽茅）（属）;【植】（キノコやシダ類の）柄
壁	mur	{Ｂ}壁,へい（塀）;壁状のもの;《転》障壁	pariet	【機】内壁;【解】壁
募	kvest	【PIV】(ntr (netransitiva)) Peti k kolekti	varb	{Ｏ}［他］（会員などを）募集する;【軍】徴募する
蓬	vil	毛で覆われた,毛むくじゃらの,けば立った	hirt	{Ｏ}（毛の）逆立った,（髪の）乱れた
忘	amnezi	【病】健忘症	forges	{Ｂ}［他］忘れる,失念する;なおざりにする,おろそかにする
望	esper	希望の	perspektiv	{Ｏ}眺望,見晴らし,遠景;展望,見通し;【美】遠近法,透視図法
膨	ekspansi	［自］【理】（気体が）膨張する,>>dilati	dilat	［他］【理】膨張させる,>>ekspansii
墨	tuc^	［他］墨でかく;（水彩で）薄く塗る,=lavumi	ink	（万年筆などの）インクカートリッジ
朴	naiv	{Ｂ}素朴な,無邪気な;うぶな,世間知らずの,愚直な	rustik	【建】【PIV】Prezentanta simplan, ec^ krudan 
盆	basen	{Ｏ}泉水,ため池;船溜まり;（川の）流域;【地理】盆地,=rondvalo	pelv	{Ｏ}たらい,洗面器,水盤;【解】骨盤
幕	kulis	{Ｏ}【劇】舞台裏;舞台の袖（そで）;《転》内幕,舞台裏	akt	{Ｂ}【劇】幕;【法】証書
慢	adag^	【楽】（速度標語）ゆるやかに	kronik	【医】慢性の,><akuta
魅	fascin	魅惑的な,魅了する	c^arm	{Ｂ}魅力的な,魅惑的な,かわいい
蜜	miel	蜂蜜の,蜂蜜入りの;蜜のように甘い;《転》甘ったるい	nektar	{Ｏ}【神】ネクタル（酒）;《転》甘露,美酒;【植】花蜜（かみつ）
矛	halebard	{Ｏ}【軍】ほこやり（矛槍）	lanc	{Ｏ}槍（やり）;銛（もり）;【遊】（将棋の）香車
明	morgau^	明日の;《転》将来の	eksplicit	明示された,=malimplicita
