type	char	root	band	fullKanji	gloss
2根	蓬	hirt	pejvo	蓬	{Ｏ}（毛の）逆立った,（髪の）乱れた
2根	忘	forges	basic	忘	{Ｂ}［他］忘れる,失念する;なおざりにする,おろそかにする
2根	忘	amnezi	pejvo	忘	【病】健忘症
2根	棒	baston	basic	棒	［他］棒で叩く（たたく）
2根	膨	dilat	pejvo	膨	［他］【理】膨張させる,>>ekspansii
2根	膨	ekspansi	pejvo	膨	［自］【理】（気体が）膨張する,>>dilati
2根	朴	naiv	basic	朴	{Ｂ}素朴な,無邪気な;うぶな,世間知らずの,愚直な
2根	朴	rustik	piv	朴	【建】【PIV】Prezentanta simplan, ec^ krudan prilab
2根	本	instinkt	basic	本	本能の,本能的な;直観的な
2根	幕	akt	basic	幕	{Ｂ}【劇】幕;【法】証書
2根	幕	kulis	pejvo	幕	{Ｏ}【劇】舞台裏;舞台の袖（そで）;《転》内幕,舞台裏
2根	末	last	basic	末	{Ｂ}最後の,最終の,後者の;最近の,最新の,直前の,この前の;最下位の,最低の
2根	慢	kronik	pejvo	慢	【医】慢性の,><akuta
2根	慢	adag^	pejvo	慢	【楽】（速度標語）ゆるやかに
2根	蔓	sarment	piv	蔓	【PIV】1 Ligna, tamen fleksebla tigo, kiun vito 
2根	未	futur	pejvo	未	【Ｇ】未来（時制）,=os-tempo;《詩》=estonteco（未来）
2根	魅	ĉarm	basic	魅	(無)
2根	魅	fascin	pejvo	魅	魅惑的な,魅了する
2根	眠	somnol	piv	眠	【PIV】Stato transig^a inter dormo k maldormo.
2根	矢	sag	basic	矢	［自］矢のように飛ぶ
2根	役	servut	pejvo	役	賦役の,農奴労働の
2根	役	kampanj	pejvo	役	［自］キャンペーンを張る
2根	柳	salik	basic	柳	{Ｂ}【植】ヤナギ（柳）（属）
2根	柳	vimen	pejvo	柳	【植】タイリクキヌヤナギ（大陸絹柳）（種）;《般》（柔らかい）柳の枝
2根	勇	kuraĝ	basic	勇	(無)
2根	勇	brav	basic	勇	{Ｂ}勇敢な,勇ましい,りりしい;実直な,律義な;りっぱな
2根	幽	fantom	basic	幽	幽霊の,まぼろしのような
2根	由	motiv	basic	由	［他］（物事が）動機付ける,理由付ける
2根	洋	ocean	basic	洋	{Ｂ}【地理】大洋,大海,海洋
2根	翼	plane	pejvo	翼	【空】翼板,翼（よく）
2根	裸	nud	basic	裸	{Ｂ}裸の;むき出しの;飾りのない
2根	酪	krem	basic	酪	クリーム入りの;クリーム状の
2根	酪	fromaĝ	basic	酪	(無)
2根	梨	pir	basic	梨	{Ｂ}【果】ナシ（梨）,洋ナシ
2根	隆	tuber	basic	隆	こぶの,こぶのある
2根	厘	centi	pejvo	厘	(無)
2根	厘	centimetr	basic	厘	(無)
2根	烈	intens	basic	烈	{Ｏ}強烈な,激しい,強度の;集中的な,集約的な,徹底的な
2根	露	ros	basic	露	［自］（無主語）露がおりる
2根	露	ekshibici	piv	露	【PIV】Emo sin montri, aparte en erotika situaci
2根	狼	lup	basic	狼	狼の;《転》残虐な
2根	湾	golf	basic	湾	{Ｂ}【地理】湾
2根	湾	sinu	piv	湾	【PIV】C^iu el la kurbaj^oj, fleksoj de vojo, ri
2根	腕	pojn	pejvo	腕	【解】手首,=manradiko
2根	个	individu	basic	个	個人の,個人的な;個々の,個別的な
2根	个	individual	pejvo	个	(無)
2根	乘	vetur	basic	乘	{Ｂ}［自］（乗り物で）行く;（乗り物が）行く,運行する
2根	乘	multiplik	basic	乘	【数】掛け算の,乗法の
2根	舒	komfort	basic	舒	{Ｂ}快適な,心地よい,安楽な
2根	舒	diastol	pejvo	舒	【医】心拡張期,><sistolo
piv単独	估	stim	piv	估	【PIV】Taksi per stokastika procedo; kalkuli sti
2根	佛	budh	basic	佛	【仏】仏陀（ぶっだ）,正覚者,>>tatagato
2根	佛	buda	pejvo	佛	(無)
piv単独	俯	pron	piv	俯	【PIV】(tr (transitiva)) Turni la antau^brakon t
2根	冰	glaci	basic	冰	氷の,氷のような;《転》冷ややかな,よそよそしい
2根	况	situaci	basic	况	［自］《古》=situi（位置する）
2根	况	cirkonstanc	basic	况	{Ｂ}周囲の事情,状況
2根	辨	disting	basic	辨	他との区別を示す,特有の;示差的な
2根	辨	diskrimin	piv	辨	【PIV】(ntr (netransitiva)) 1 Distingi inter plu
2根	厂	fabrik	basic	厂	［他］製造する,製作する,生産する
2根	厂	uzin	basic	厂	（大規模な）冶金工場,>>fabriko
2根	听	aŭd	basic	听	(無)
2根	听	aŭskult	basic	听	(無)
