-ant-	在
levi	举/i
leg^o	律/o
li	他
libera	自由/a
libro	书/o
liceo	校/o
lifto	梯/o
ligi	结/i
ligno	木/o
lilio	百合/o
limo	界/o
lingvo	语/o
linio	线/o
lipo	唇/o
listo	表ᴸ/o
literaturo	文ᴸ/o
litero	字/o
lito	床/o
litro	升/o
liveri	供ᴸ/i
logi	诱ᴸ/i
logiko	理ᴸ/o
lojala	忠ᴸ/a
loko	处/o
longa	长/a
loto	签/o
log^i	住/i
ludi	玩/i
lui	租/i
lukso	奢/o
lukti	搏/i
luli	摇ᴸ/i
lumi	光/i
lundo	月ᴸᴰ/o
luno	月/o
lupo	狼/o
magazeno	仓/o
maizo	玉米/o
majo	五月/o
majstro	师/o
maksimumo	极ᴹ/o
makulo	污/o
mal-	反
malgrau^	不顾
malica	恶/a
mamo	乳ᴹ/o
mandato	委ᴹ/o
maniero	式/o
maniko	袖/o
manipuli	操ᴹᴾ/i
manki	缺/i
mano	手/o
mantelo	披/o
mang^i	食/i
mapo	图/o
mardo	火ᴹ/o
marko	标ᴹ/o
maro	海/o
martelo	锤/o
marto	三月/o
marc^o	沼/o
mars^i	步ᴹ/i
maso	团ᴹ/o
masto	柱/o
mastro	主/o
matematiko	数学/o
mateno	晨/o
materialo	材/o
materio	质ᴹ/o
mato	席/o
matraco	垫ᴹ/o
matura	熟/a
mac^i	嚼/i
mas^ino	机/o
meblo	具ᴹ/o
medicino	医ᴹ/o
medikamento	药/o
mediti	思ᴹ/i
mekaniko	械/o
mekanismo	mekan/主义/o
melono	瓜/o
mem	自
membro	员/o
memori	记/i
mencii	提/i
mendi	订/i
menso	心ᴹ/o
mensogi	谎/i
mentono	下巴/o
menuo	单ᴹᴱ/o
meriti	值ᴹ/i
merkredo	水ᴹ/o
metalo	金ᴹ/o
meti	置/i
metio	艺ᴹ/o
metodo	法ᴹ/o
metro	米/o
mezo	中/o
mezuri	测/i
mi	我
mielo	蜜/o
mieno	容/o
migri	迁/i
miksi	混/i
mil	千
milda	柔/a
miliardo	十亿/o
miliono	百万/o
militi	战/i
minaci	胁/i
mineralo	矿ᴹᴿ/o
minimumo	最小/o
ministerio	部ᴹ/o
ministro	臣/o
mino	矿/o
minus	减
minuto	分ᴹ/o
miri	惊/i
mis-	误
mistero	谜ᴹ/o
mizero	惨/o
modelo	模/o
modera	适ᴹ/a
moderna	现ᴹ/a
modesta	谦ᴹ/a
modifi	改ᴹ/i
modo	式ᴹᴰ/o
moki	嘲/i
mola	软/a
momento	刻/o
monato	月ᴹ/o
mondo	界ᴹ/o
mono	钱/o
monstro	怪/o
monto	山/o
montri	示/i
monumento	碑/o
moralo	德ᴹ/o
mordi	咬/i
morgau^	明
moro	俗/o
morti	死/i
moskito	蚊/o
motoro	动ᴹᵀ/o
movi	动/i
mueli	磨/i
multa	多/a
multipliki	乘ᴹ/i
murmuri	咕/i
muro	壁/o
musko	苔/o
muskolo	筋/o
muso	鼠/o
muta	哑/a
muzeo	馆ᴹ/o
muziko	乐/o
mus^o	蝇/o
nacio	族/o
nadlo	针/o
naiva	朴/a
najbaro	邻/o
najlo	钉/o
naski	生/i
naturo	然/o
nazo	鼻/o
nag^i	游/i
nau^	九
nau^zi	呕/i
ne	不
nebulo	雾/o
necesa	必/a
neglekti	忽ᴺ/i
nek	也不
nenia	无a
nenial	无因
neniam	无时
nenie	无e
neniel	无样
nenies	无之
nenio	无o
neniom	无量
neniu	无u
nepo	孙/o
nervo	神经/o
nesto	巢/o
nevo	侄/o
neg^o	雪/o
ni	我们
nigra	黑/a
nivelo	平ᴺ/o
nobla	贵/a
nodo	结ᴺ/o
nokto	夜/o
nombro	数/o
nomo	名/o
nordo	北/o
normala	正ᴺ/a
noto	记ᴺ/o
nova	新/a
novembro	十一月/o
nu	嘿
nubo	云/o
nuda	裸/a
nukso	果ᴺ/o
numero	号/o
nun	现
nur	仅
nutri	养/i
obei	服/i
objekto	物ᴼ/o
oblikva	斜ᴼ/a
observi	观/i
obstaklo	碍/o
obstina	顽ᴼ/a
oceano	洋/o
odori	气ᴼ/i
ofendi	侮/i
oferi	献/i
oferti	供/i
oficiala	官/a
ofico	职/o
ok	八
okazi	生ᴼ/i
okcidento	西/o
oktobro	十月/o
okulo	目/o
okupi	占/i
ol	比
oleo	油/o
ombrelo	伞/o
ombro	影/o
ondo	波/o
oni	人ᴼ
onklo	叔/o
opinii	想/i
oportuna	便/a
orang^o	橙/o
ordinara	普/a
ordo	序/o
ordoni	令/i
orelo	耳/o
organizi	器ᴼ/化/i
organo	器ᴼ/o
oriento	东/o
originalo	原ᴼ/o
origino	源/o
orkestro	乐ᴼ/o
ornami	饰/i
oro	金/o
ortografio	直ᴼ/志ᴳ/o
oscedi	欠ᴼ/i
osto	骨/o
ovo	卵/o
pacienca	忍ᴾ/a
paco	和/o
pafi	射/i
pagi	付/i
pako	包/o
pala	苍/a
palaco	宫/o
palpebro	目皮/o
palpi	摸/i
