層	分節	単独語数	単独接地率	合成語数	合成接地率	文脈保持率
tier0_CSV2890	krud	5	0.600	14	0.071	0.12
tier0_CSV2890	glit	11	1.000	15	0.133	0.13
tier0_CSV2890	ven	30	0.500	43	0.070	0.14
tier0_CSV2890	pentr	6	0.500	13	0.077	0.15
tier0_CSV2890	intens	7	0.429	16	0.062	0.15
tier0_CSV2890	lert	6	0.833	8	0.125	0.15
tier0_CSV2890	societ	6	1.000	6	0.167	0.17
tier0_CSV2890	au^t	5	0.400	39	0.077	0.19
tier0_CSV2890	cerv	4	0.750	7	0.143	0.19
tier0_CSV2890	ric^	8	0.625	40	0.125	0.20
tier0_CSV2890	pent	5	1.000	5	0.200	0.20
tier0_CSV2890	ran	1	1.000	5	0.200	0.20
tier0_CSV2890	s^torm	3	0.667	7	0.143	0.21
tier0_CSV2890	apog	7	1.000	9	0.222	0.22
tier0_CSV2890	pov	7	0.857	31	0.194	0.23
tier0_CSV2890	font	2	0.500	26	0.115	0.23
tier0_CSV2890	g^ust	7	0.714	6	0.167	0.23
tier0_CSV2890	bon	15	0.400	65	0.092	0.23
tier0_CSV2890	takt	7	0.857	5	0.200	0.23
tier0_CSV2890	izol	12	0.250	17	0.059	0.24
tier0_CSV2890	nivel	5	0.400	20	0.100	0.25
tier0_CSV2890	bapt	5	1.000	8	0.250	0.25
tier0_CSV2890	ekzakt	3	1.000	4	0.250	0.25
tier0_CSV2890	nuks	1	1.000	8	0.250	0.25
tier0_CSV2890	fekund	5	1.000	4	0.250	0.25
tier0_CSV2890	fidel	4	1.000	4	0.250	0.25
tier0_CSV2890	formal	7	1.000	4	0.250	0.25
tier0_CSV2890	rau^p	1	1.000	4	0.250	0.25
tier0_CSV2890	unik	3	1.000	4	0.250	0.25
tier0_CSV2890	fend	10	0.600	13	0.154	0.26
tier0_CSV2890	objekt	9	0.444	17	0.118	0.26
tier0_CSV2890	agent	3	1.000	11	0.273	0.27
tier0_CSV2890	astr	6	0.333	11	0.091	0.27
tier0_CSV2890	aparat	1	1.000	18	0.278	0.28
tier0_CSV2890	arang^	5	0.600	6	0.167	0.28
tier0_CSV2890	dik	7	0.714	15	0.200	0.28
tier0_CSV2890	rigid	7	0.714	5	0.200	0.28
tier0_CSV2890	neces	10	0.900	4	0.250	0.28
tier0_CSV2890	fon	12	0.167	41	0.049	0.29
tier0_CSV2890	brul	21	0.571	30	0.167	0.29
tier0_CSV2890	fung	1	1.000	7	0.286	0.29
tier0_CSV2890	varm	18	0.444	63	0.127	0.29
tier0_CSV2890	sens	12	0.833	8	0.250	0.30
tier0_CSV2890	esplor	11	0.545	12	0.167	0.31
tier0_CSV2890	fond	10	0.400	8	0.125	0.31
tier0_CSV2890	ik	4	0.750	33	0.242	0.32
tier0_CSV2890	kresk	16	0.312	10	0.100	0.32
tier0_CSV2890	kontakt	6	1.000	6	0.333	0.33
tier0_CSV2890	proksim	16	1.000	3	0.333	0.33
tier0_CSV2890	tribunal	1	1.000	3	0.333	0.33
tier0_CSV2890	tambur	7	1.000	3	0.333	0.33
tier0_CSV2890	gent	1	1.000	3	0.333	0.33
tier0_CSV2890	dolc^	8	1.000	15	0.333	0.33
tier0_CSV2890	dung	8	1.000	3	0.333	0.33
tier0_CSV2890	marc^	4	1.000	9	0.333	0.33
