sig	r	rk	rb	y	yk	yb
=	kuf	帽	pejvo	hup	鸣	pejvo
=	kulas	尾	pejvo	post	后	prep
>>	kultiv	栽	pejvo	kultur	耕	basic
=	kupl	连	pejvo	kluc^	合	pejvo
=	kurkuli	象甲	pejvo	bek	嘴	basic
>>	kurkuli	象甲	pejvo	kalandr	压光	pejvo
=	kurs	课	basic	kurz	价	pejvo
=	kurt	短	pejvo	mal	反	pref
>>	kvartal	区	basic	urb	市	basic
>>	kvaternar	四	pejvo	terciar	三	pejvo
>>	kvocient	商	pejvo	rilat	关	basic
=	labil	易变	pejvo	nest	巢	basic
>>	lampir	萤	pejvo	lum	光	basic
>>	lampir	萤	pejvo	lu	租	basic
=	langvor	倦	pejvo	malv	葵	basic
=	lant	缓	pejvo	mal	反	pref
>>	lanug	茸	pejvo	plum	羽	basic
>>	lanug	茸	pejvo	vil	蓬	pejvo
>>	lard	脂	basic	pork	猪	basic
>>	latitud	纬	basic	longitud	经度	basic
>>	lazaret	检疫院	pejvo	mal	反	pref
=	laz	套	pejvo	kapt	捕	basic
=	libertin	荡	pejvo	liber	自由	basic
>>	licenci	士	pejvo	magistr	硕	pejvo
=	lic	许	pejvo	est	是	basic
>>	likv	液	basic	solid	固	basic
=	lingvistik	学	basic	lingv	语	basic
>>	liter	字	basic	ide	意	basic
=	livi	鸽	pejvo	rok	岩	basic
=	lobi	游说	pejvo	prem	压	basic
>>	logaritm	对数	pejvo	man	手	basic
>>	long	长	basic	larg	宽	piv
=	lotus	莲	basic	lot	签	basic
=	lozang^	菱	pejvo	pastel	含片	pejvo
>>	lug^	雪车	pejvo	glit	滑	basic
=	lukan	锹甲	pejvo	cerv	鹿	basic
=	luksaci	脱臼	pejvo	el	出	prep
>>	lun	月	basic	satelit	星	basic
