root	層	漢字	接地	生物名	F	接地した定義語根	定義文
platale	PIV	鸟ᴾᴬ	Y	Y	1	bird=鸟	G. (Genro) (Platalea) de birdoj el la ordo de cikoniformaj, kun longa beko, kies antau^o e
platenat	PIV	白金盐	Y		1	sal=盐	Salo de platenata acido H 2 PtO 3.
platiceri	PIV	羊齿ᴾᵀ	Y	Y	1	filik=羊齿	G. (Genro) (Platycerium el polipodiacoj) de epifitaj filikoj kun duformaj folioj, unuj ron
plektrant	PIV	草ᴾᴸᴱ	Y	Y	1	herb=草	G. (Genro) (Plectranthus el lamiacoj) de c^. (c^irkau^) 200 sp-oj (specioj) de tropikaj k 
ploce	PIV	鸟ᴾᶜ	Y	Y	1	bird=鸟	G. (Genro) (Ploceus) de birdoj el la ordo de paseroformaj, fam. (familio) de ploceedoj, ki
plumbat	PIV	铅盐	Y		1	sal=盐	Salo de nestabila plumbata acido, H 2 PbO 3.
plumbit	PIV	铅盐ᴾᴵ	Y		1	sal=盐	Salo de imaga plumbita acido H 2 PbO 2.
plumbag	PIV	草ᴾᴸ	Y	Y	1	herb=草	1 G. (Genro) (Plumbago el plumbagacoj) de plantoj – unu-k plur-jaraj herboj, tufarbustoj k
pluvmetr	PIV	雨计	Y		1	pluv=雨	Ilo por mezuri la kvanton de falinta pluvo.
pluvometr	PIV	雨计ᴾᴼ	Y		1	pluv=雨	Ilo por mezuri la kvanton de falinta pluvo.
pneu^monit	PIV	肺炎ᴾᴺ	Y		1	inflam=炎,pulm=肺,pulm=肺	Inflamo de unu pulmo (simpla pneu^monito), au^ de la du pulmoj (duobla pneu^monito), kau^z
pneu^monektomi	PIV	肺除	Y		1	pulm=肺	Parta au^ tuta ablacio de unu pulmo.
pneu^monokonioz	PIV	肺尘症	Y		1	pulm=肺	Malsano, kau^zata de la fiksig^o de karbaj, silicaj ks (kaj simile, kaj similaj) polveroj 
pneu^monologi	PIV	肺学	Y		1	pulm=肺	Studo pri la pulmoj k iliaj malsanoj.
