root	kanji	gloss
daŭr	续	(基本形gloss無)
kolekt	集	{Ｂ}［他］集める,収集する,徴収する;（人を）呼び集める,招集する
foir	集	{Ｂ}定期市,見本市,（家畜・農産物の）品評会
koncentr	集	集中的な,濃厚な;《古》=samcentra（同心の）
kolektiv	集	(基本形gloss無)
nul	零	ゼロの;無の,無価値の
aĉet	买	(基本形gloss無)
arb	树	{Ｂ}木,樹木;【植】高木
fag	树	{Ｂ}【植】ブナ（属）
art	艺	人工の,芸術の
meti	艺	{Ｂ}手職,手仕事;職業
atend	待	{Ｂ}［他］待つ;期待する
aŭd	听	(基本形gloss無)
aŭskult	听	(基本形gloss無)
bat	打	{Ｂ}［他］打つ,たたく,殴る
tajp	打	{Ｂ}［他］タイプする
bezon	需	必要な,=bezonata
bild	画	絵を用いた
bird	鸟	鳥の
cikoni	鸟	{Ｂ}【鳥】コウノトリ
blank	白	{Ｂ}白い
brul	燃	燃えるような,燃焼の
buŝ	口	(基本形gloss無)
luk	口	{Ｂ}（あかり取りの）小窓;【建】天窓（てんまど）;【海】舷窓（げんそう）
faŭk	口	(基本形gloss無)
dank	谢	感謝の,感謝している
dekstr	右	{Ｂ}右の;【政】右翼の,右派の
dolĉ	甘	(基本形gloss無)
dom	屋	家の
dorm	睡	{Ｂ}［自］眠っている;《転》休止している
piĵam	睡	(基本形gloss無)
edz	夫	{Ｂ}夫
fal	落	{Ｂ}［自］落ちる,落下する;倒れる,転ぶ;降る;《転》滅びる
fenestr	窗	{Ｂ}窓;【情】ウィンドウ
giĉet	窗	(基本形gloss無)
ferm	闭	{Ｂ}［他］閉める,閉じる,閉ざす;《転》終える
fil	儿	{Ｂ}息子
fingr	指	指の
indik	指	{Ｂ}［他］指し示す,示す,表す
flug	飞	{Ｂ}［自］飛ぶ,飛行する;飛ぶように進む,急ぐ
frat	兄	兄弟の;大変仲のよい
menu	单	{Ｂ}【料】メニュー;【情】メニュー
fraŭl	单	(基本形gloss無)
singular	单	単数の
frukt	果	果実の;実りある
nuks	果	{Ｂ}【植】堅果,木の実,ナッツ,>>juglando
frag	果	{Ｂ}【果】オランダイチゴ（実）;《般》イチゴ（苺）
rezult	果	{Ｂ}［自］（当然の結果として）起きる,生じる,結果になる
konsekvenc	果	首尾一貫した,筋の通った
framb	果	{Ｂ}【果】ラズベリー,フランボワーズ,キイチゴ（実）
mirtel	果	{Ｂ}【植】ビルベリー（コケモモの類）;《般》ブルーベリー
har	毛	{Ｂ}毛（一本）,髪の毛（一本）
lan	毛	羊毛の,ウールの;毛糸の
hor	钟	一時間あたりの;時間に関する
horloĝ	钟	(基本形gloss無)
interes	趣	興味深い,おもしろい;関係のある,ためになる
ĵet	投	(基本形gloss無)
kant	唱	{Ｂ}［他］歌う;（鳥が）さえずる;《転》心地よい音を奏でる;（詩や歌で）褒めたたえる
ĥor	唱	(基本形gloss無)
knab	郎	少年の
kolor	色	色のついた
volupt	色	官能的な,肉感的な;好色な
erotik	色	{Ｏ}性愛の,官能的な,エロチックな
konsil	议	{Ｂ}［他］助言する,勧める,忠告する
propon	议	{Ｂ}［他］提案する,申し出る;提供する,差し出す
konsili	议	評議会
parlament	议	議会の,国会の
konstru	建	建設の,建築の
fond	建	{Ｂ}［他］創立する,創設する,創建する;根拠を置く
kost	费	高価な
kresk	育	【情】昇順の
eduk	育	教育の;教育的な
kri	叫	{Ｂ}［自］叫ぶ,泣き叫ぶ;［他］大声で言う
kuraĝ	勇	(基本形gloss無)
brav	勇	{Ｂ}勇敢な,勇ましい,りりしい;実直な,律義な;りっぱな
kur	跑	{Ｂ}［自］走る,駆ける;急いで行く;（水などが）流れる
las	留	{Ｂ}［他］（物を）放置する,置いて去る,手放す;（人を）放す,ほうっておく;〜するに任せる
lingv	语	言語の
lit	床	{Ｂ}ベッド,寝台;寝床;（動物の）ねぐら
lum	光	光の,明るい
manĝ	食	(基本形gloss無)
mank	缺	欠けている,足りない,不備の
mar	海	海の
maten	晨	朝の
memor	记	記憶によって,そらで,>>parkere
not	记	［他］覚え書きする,メモする;《転》記憶にとどめる
ĵurnal	记	(基本形gloss無)
rekord	记	記録的な
mir	惊	{Ｂ}［自］不思議に思う,驚く,驚嘆する
surpriz	惊	不意の,奇襲の;思いがけない,驚くべき
mon	钱	金銭の,通貨の
mont	山	山の,山岳の
mur	壁	{Ｂ}壁,へい（塀）;壁状のもの;《転》障壁
neces	必	{Ｂ}必要な,不可欠の;【論】必然の,必然的な
nepr	必	絶対必要な,不可欠の,必然の
nigr	黑	{Ｂ}黒い,黒色の,黒ずんだ;暗い,闇の,曇った;《転》陰気な;《転》悪意のある;《転》邪悪な;《転》不正な
okul	目	目の
okup	占	{Ｂ}［他］占めている,占有している,占領している;=ekokupi;専念させる,忙殺する,従事させる
pag	付	{Ｂ}［他］払う,支払う;《転》仕返しする;《転》償いをする
part	部	部分的な,一部分の;分割の
ministeri	部	省の
redakci	部	編集部の
pec	片	{Ｂ}一片,一切れ,一つ;破片,断片;（機械などの）部品;（全体の中の）一部分,一品;（芸術）作品
lamen	片	薄片状の,薄片でできている,薄層をなす
split	片	［他］へぐ,裂く
pens	思	{Ｂ}［自］思う,考える
medit	思	{Ｂ}［自］考え込む,思索する,黙想する;瞑想する
perd	失	{Ｂ}［他］失う,なくす;見失う;（勝負に）敗れる;空費する
permes	许	{Ｂ}［他］許す,許可する,容認する;（状況が）許す,可能にする
licenc	许	［他］認可する,免許を与える
pied	足	足の,下部の
popol	民	人民の;民衆の
civil	民	{Ｂ}市民の,文民の;【法】民事の,><militista,><eklezia,><s^tata,><kriminala
demokrati	民	民主的な;民主政治の
pord	门	{Ｂ}戸口,入り口;戸（と）,扉（とびら）,ドア
prem	压	押しつけるような,重苦しい
