"root"	"kanji"	"gloss"
"ind"	"值"	"（je）〜に値する,ふさわしい ／ ［他］値する,>>meriti ／ 価値,品位,とりえ ／ 【PIV】Lau^ inda stato au^ maniero: ne e"
"valor"	"值"	"【数】絶対値 ／ 付加価値 ／ 【統】偏差値 ／ 【理】実効値"
"merit"	"值"	"功績のある,称賛に値する;当然受けるべき,ふさわしい ／ 当然の報いとして,正当に;功罪に応じて ／ ［他］（賞賛・非難などに）価する,ふさわしい,当然である ／ 称賛に値する"
"vac^"	"值"	"［自］【海】当直につく,>>dej^ori ／ 【海】（普通４時間の）当直,>>dej^oro"
"ing"	"座"	"［他］（鞘などに）差し込む,はめる;【情】入れ子にする ／ 鞘（さや）,軸受け"
"tron"	"座"	"玉座の;王位の;王権の ／ ［自］玉座にすわっている;君臨する;《転》でんと座っている ／ 玉座,王座,君主の座席;《転》王位,帝位;《転》王権,帝権 ／ 【キ】【PIV】La tria ordeno de la ang^eloj."
"katedr"	"座"	"（教授の）席,講壇,講座;説教壇;【キ】司教座,法座 ／ 【PIV】Rilata al katedro: katedra tono, "
"long"	"长"	"【理】減衰距離 ／ （空間的・時間的に）長い;【声】長音の ／ 長い棒 ／ 遠い距離"
"estr"	"长"	"［他］〜の長である,率いる ／ 長,長官,>>c^efo"
"in"	"女"	"女性の;雌の ／ 雌花（めばな）,>>femala ／ 【Ｇ】女性 ／ 【文】女性韻"
"femin"	"女"	"【PIV】= virino. ／ 【解】【PIV】femina pudendo (vulvo)."
"aĵ"	"物"	"物,事物,ものごと,>>objekto"
"objekt"	"物"	"目的語を省略する ／ 【Ｇ】間接目的語 ／ 物体の ／ 【Ｇ】目的補語,=objekto"
"ist"	"家"	"無原則な人"
"hejm"	"家"	"家庭の,自宅の;（動物が）飼いならされた ／ 家計,家庭経済 ／ イエネコ（家猫） ／ 【運】本塁,ホームプレート"
"famili"	"家"	"裕福な家庭 ／ 家族の,家庭の;家族的な,水入らずの ／ 居間 ／ 家族制度"
"ism"	"主义"	"主義,学説"
"op"	"组"	"連れだった ／ 連れだって,組になって ／ 【PIV】Grupo de homoj kunigitaj per kune"
"kompon"	"组"	"［他］（芸術作品を）構成する,創作する;【楽】作曲する ／ 【理】力を合成する ／ 【化】分子を構成する"
"fi"	"卑"	"［間］チェッ！ ／ 下劣な,いやらしい"
"ĉef"	"首"	"主な,主要な ／ 主要都市 ／ おもに ／ ［自］首位を占める"
"dis"	"散"	"ちりぢりの,ばらばらの ／ 【情】分散処理 ／ ばらばらに,離ればなれに"
"distr"	"散"	"気晴らしの ／ ［他］気を散らす,>>malatentigi;気晴らしをさせる,>>mals ／ 娯楽,気晴らし"
"eman"	"散"	"［自］（ガスや放射線など目に見えないものが）放射する,発散する ／ 放射,発散"
"difuz"	"散"	"【理】乱反射 ／ ［他］【理】拡散させる ／ 【理】拡散 ／ 【PIV】1 Rilata al difuzo: difuza fenome"
"diverg^"	"散"	"発散の ／ 【光】発散光束 ／ 【数】発散級数 ／ ［自］【数】【光】発散する,><konverg^i"
"loz"	"散"	"ばら積みの貨物 ／ 【PIV】1 Malstrikta, malstrec^ita, malko"
"sporad"	"散"	"散発的な,時々起こる,散在する;【病】散発性の ／ 散発的に,ばらばらに"
"pra"	"原"	"原始の,太古の"
"primar"	"原"	"【学】第一の,一次の,原初の,最初の,>>sekundara;《古》第一紀の ／ 【理】三原色 ／ 【PIV】(ark. (arkaismo, arkaisme)) = pal"
"pamp"	"原"	"【植】【生態】【地理】【PIV】S-Amerika stepo. Vd pr ／ 【PIV】Fekunda regiono de Argentino, sud"
"mis"	"误"	"間違った,失敗の,不当な ／ 間違って,誤って,不当に ／ 失策;【運】反則,（テニスの）フォールト ／ ［自］誤る,間違う,>>erari"
"bo"	"姻"	"［文字名］ボー（文字B，bの名称）"
