char	root	gloss
些	kelk	（数について）いくつかの,何人かの;（量について）いくらかの,多少の
拐	kidnap	［他］誘拐する,=forkapti,>>infans^teli
吻	kis	そっと触れる口づけ
棍	klab	［他］こん棒で殴る
谣	klac^	［自］悪口をいいふらす,陰口をきく,悪いうわさ話をする
嘹	klarion	（声・音などが）甲高く響きわたる
屑	klast	1 Fragmento de rompita kristalo, roko au^ fosilio. 2 = detri
键	klav	エンターキー
崖	klif	（海岸の）絶壁,がけ,断崖（だんがい）
刃	kling	刃（は）,刀身,>>tranc^rando
诊	klinik	臨床の
灌	klister	［他］浣腸する
尽	klopod	骨の折れる
氯	klor	塩素（原子番号17の非金属元素）
厕	klozet	Necesejo, ordinare kun pelvo k akvos^pruco. Vd latrino.
闸	kluz	［他］（船を）開門して通過させる
郎	knab	少年の
吱	knar	［自］きしる,キイと音を立てる
焦	koaks	コークス
识	kogn	(tr (transitiva)) Rekoni, percepti, kapti (veron) helpe de l
贯	koher	（論理が）首尾一貫した,筋道の通った,まとまりのある;凝集した;（光が）干渉性の,コヒーレントな
椰	kokos	ココナッツ繊維
崩	kolaps	［自］虚脱する;崩壊する;フリーズする;《転》（急に）意気消沈する,衰弱する
梳	komb	［他］（くしで）すく,くしけずる
始	komenc	はじめの,最初の,手始めの
怜	kompat	慈悲
惠	komplez	親切な,好意的な,人を喜ばせる
逼	kompuls	(tr (transitiva)) Igi, ke iu efektive plenumu devon ks (kaj 
奏	koncert	演奏会の;生演奏の,生録音の,ライブの
件	kondic^	（〜aj 〜oj）経済的事情
佐	kondiment	［他］味付けする
凹	konkav	凹（おう）の,>>konveksa
虑	konsider	［他］考慮する,考察する;考慮に入れる;（〜と）見なす
慰	konsol	慰めの,慰めを与える
恒	konstant	誘電率,=permitivo
宪	konstituci	憲法の;立憲的な
询	konsult	［他］（専門家に）相談する,諮問する;（辞書などを）調べる,参照する
耗	konsum	［他］（少しずつ）消費する,消耗する;食べ尽くす,（炎が）焼き尽くす;やつれさせる
冥	kontempl	観想的な,瞑想にふける
陆	kontinent	アメリカ大陸
所	kontor	事務室;帳場,>>oficejo
谈	konversaci	会話の
篮	korb	かご,ざる
弦	kord	金属弦,スチール弦
贿	korupt	汚職事件
泛	kosmopolit	コスモポリタン的な;汎存種の,全世界に広く分布する
纳	kotiz	年会費
孵	kov	［他］（鳥が卵を）抱いている;《転》（こどもを）大事に保護する;《転》（計画などを）ひそかにたくらむ
盖	kovr	［他］覆う,かぶせる;覆いかくす;償う,埋め合わせる
颅	krani	頭蓋の
坠	kras^	［自］墜落する;（自動車などが）激突する,>>frakasig^i
坑	krater	火口湖,>>kaldrona lago
叫	kri	悲痛な叫び
筛	kribr	［他］ふるいにかける
晶	kristal	結晶の,結晶した;水晶のような,透きとおった;水晶でできた,クリスタルガラス製の
鳄	krokodil	［自］（Esp.で話すべき場面で）自国語で話す
肘	kubut	ひじの
烹	kuir	料理の,調理の
糕	kuk	ミルフィーユ,=tavolkuko
鹃	kukol	カッコウ（属）
栽	kultiv	コリアンダー（セリ科の香草）
铜	kupr	真鍮（しんちゅう）,黄銅,=latuno
跑	kur	突進
廷	kuri	クリア（古代ローマの社会組織の一単位／クリア集会所／元老院議場）;教皇庁
帘	kurten	鉄のカーテン
躺	kus^	横たわった
习	kutim	いつものように
堂	kuz	いとこ（男）
虽	kvankam	
如	kvazau^	見かけ上の,〜まがいの
吵	kverel	［自］口論する,口げんかする
劳	labor	《転》根気のいる仕事
疲	lac	疲れた,くたびれた;《転》飽き飽きした
湖	lag	人造湖
承	lagr	軸受
泻	laks	［自］下痢する
跛	lam	足（脚）の不自由な,びっこの;《転》釣り合いの取れていない
萤	lampir	ツチボタル（属）,>>lumvermo;（一般に）ホタル（蛍）,>>luciolo
舌	lang	チッと舌打ちをする
倦	langvor	=malviglo（無気力）
茸	lanug	綿羽のような,綿羽でできた,うぶ毛の生えた,綿毛に覆われた
泪	larm	涙の,涙にぬれた
留	las	［他］（物を）放置する,置いて去る,手放す;（人を）放す,ほうっておく;〜するに任せる
末	last	後者（の）
按	lau^	一致した,適合した
