版	区分	層	行	見出し	描画	別解析の復号
学術版	S2adj	PEJVO	L34017	re/vid/i	再/见/i	adiau^i
学術版	S2adj	PEJVO	L34018	re/vid/o	再/见/o	adiau^o
学術版	S2adj	PEJVO	L35014	sam/ec/o	同/性/o	gejo
学術版	S2adj	PEJVO	L35809	sen/form/a	无/形/a	amorfa
学術版	S2adj	PEJVO	L35897	sen/kolor/a	无/色/a	akromata
学術版	S2adj	PEJVO	L36128	sen/sent/a	无/感/a	anesteza
学術版	S2adj	PEJVO	L36990	skrap/il/o	刮/具/o	skrapatoro
学術版	S2adj	PEJVO	L37043	skun/o	帆船/o	vels^ipo
学術版	S2adj	PEJVO	L37611	spic/herb/o	香/草/o	lavendo
学術版	S2adj	PEJVO	L37669	spirit/ism/o	灵/主义/o	spiritualismo
学術版	S2adj	PEJVO	L37670	spirit/ist/o	灵/家/o	spiritualisto
学術版	S2adj	PEJVO	L37673	spiritualism/o	灵主义/o	spiritismo
学術版	S2adj	PEJVO	L37674	spiritualist/o	灵家/o	spiritisto
学術版	S2adj	PEJVO	L38030	stomak/dolor/o	胃/痛/o	gastralgio
学術版	S2adj	PEJVO	L38497	sufer/ad/o	苦/行/o	asketo
学術版	S2adj	PEJVO	L39604	s^top/il/o	堵/具/o	obturatoro
学術版	S2adj	PEJVO	L39860	talk/o	滑石/o	glits^tono
学術版	S2adj	PEJVO	L39865	talp/o	地鼠/o	termuso
学術版	S2adj	PEJVO	L40309	teozof/i/o	神智/i/o	disag^io
学術版	S2adj	PEJVO	L40337	ter/centr/a	地/央/a	geocentra
学術版	S2adj	PEJVO	L40426	ter/mus/o	地/鼠/o	talpo
学術版	S2adj	PEJVO	L40992	trake/o	气管/o	aertubo
学術版	S2adj	PEJVO	L41210	tra/pik/i	穿/刺/i	punkcii
学術版	S2adj	PEJVO	L41325	tri/angul/a	三/角/a	trigonometria
学術版	S2adj	PEJVO	L41363	trigonometri/a	三角/a	triangula
