sargas	{Ｏ}【植】ホンダワラ属（の海藻）
poligal	【植】【PIV】G. (Genro) (Polygala el poligalacoj) de plantoj -unu-k plur-jaraj herboj, arbustetoj, arbustoj k arboj - kun papiliformaj floroj; subkosmopolita g. (gen
poligonat	【植】【PIV】G. (Genro) (Polygonatum el konvalacoj) de plurjaraj herboj kun rizomo, havanta okulfrapajn, diskoformajn cikatrojn de la s^osoj de la antau^aj jaroj, ku
poliplektr	【動】【PIV】G. (Genro) (Polyplectron), tre parenca al fazano, de birdoj kun 2 au^ 3 ergotoj sur c^iu tarso; vivas en Azio. Sin. (sinonimo) pavofazano.
polipor	【植】【PIV】1 (ss (striktasence)) G. (Genro) (Polyporus el poliporacoj) kosmopolita de c^. (c^irkau^) 50 sp-oj (specioj) de ombrelfungoj kun c^apelo malsupraflanke 
polistik	【植】【PIV】G. (Genro) (Polystichum el driopteridacoj) de filikoj kun vertikala rizomo, kun rozeto el bazaj folioj 1−2-oble plume dividaj, ofte vintrodau^raj, k kun
pontederi	【植】【PIV】G. (Genro) (Pontederia el pontederiacoj) de 5 Amerikaj sp-oj (specioj) de plurjaraj, akvejaj herboj, el kiuj du g^ardene kultivataj por belaj spikoj el 
porfiri	【動】【PIV】1 Sp. (Specio) (Porphyrio porphyrio) de birdo el la fam. (familio) de raledoj, nigre blua krom blankaj subvostaj plumoj, rug^aj, longaj k fortikaj kruro
porfur	【植】【PIV】G. (Genro) (Porphyra el bangiacoj) de maraj rug^algoj en formo de tre maldika folio; kosmopolita g. (genro) de c^. (c^irkau^) 25 sp-oj (specioj), el kiu
portulak	【植】【PIV】G. (Genro) (Portulaca el portulakacoj) de unu-k plur-jaraj herboj kun pli-malpli karnecaj, alternaj au^ duope kontrau^aj folioj; kosmopolita g. (genro) 
potentil	【植】【PIV】G. (Genro) (Potentilla el rozacoj) de plurjaraj herboj k tufarbustoj kun mane au^ nepare plume kunmetaj folioj, kun flavaj, rozaj au^ blankaj floroj unu
potiron	【植】【PIV】Sp. (Specio) de kukurbo (Cucurbita maxima), kultivata por grandaj, pli-malpli globaj au^ longformaj fruktoj, flav-au^ orang^a-karnaj, mang^ataj kuiritaj
pozidoni	【植】【PIV】G. (Genro) (Posidonia el pozidoniacoj) de 9 sp-oj (specioj) de maraj herboj el la marbordoj de Mediteraneo, de Atlantiko k de Au^stralio, i.a. (interali
prenantes	【植】【PIV】G. (Genro) (Prenanthes el asteracoj) de plurjaraj herboj, iuj volvig^antaj, kun de blankaj g^is violetaj, langetfloraj kapituloj; c^. (c^irkau^) 25 sp-o
presbit	【動】【PIV】G. (Genro) (Presbytis, inkl. (inkluzive) Semnopithecus) de simioj el la fam. (familio) de kolobedoj, vivantaj en SE Azio; la plej komunaj simioj en Hind
prist	【動】【PIV】G. (Genro) (Pristis) de fis^oj parencaj al rajoj, sed kun supra makzelo longa kiel glavo, portanta dentojn ambau^flanke; vivas en varmaj maroj. Sin. (si
pronel	【動】【PIV】G. (Genro) (Prunella) de birdoj el la ordo de paseroformaj, malgrandaj, similaj al pasero, sed kun maldika beko.
protal	【植】【PIV】Gametofito de la pteridofitoj, malgranda, talforma, unu-au^ du-seksa.
protonem	【植】【PIV】Unua korpo de la briofitoj, c^ela, klorofila, g^enerale filamenta, aperanta tuj post la g^ermado de la sporo.
psidi	【植】【PIV】G. (Genro) (Psidium el mirtacoj) de arboj k trunkarbustoj kun grandaj, blankaj floroj k kun globaj au^ pirformaj beroj; c^. (c^irkau^) 100 sp-oj (specio
ptarmik	【植】【PIV】Sp. (Specio) de akileo (Achillea ptarmica) el Eu^ropo k Azio, plurjara, terniga herbo kun preskau^ liniformaj, segildentaj folioj k kun paniklo el radia
pteranodont	【動】【PIV】G. (Genro) (Pteranodon) de grandaj flugsau^roj, kiuj vivis dum malfrua kretaceo, eltrovitaj en N Ameriko k Rusio. Vd pterodaktilo, ramforinko.
pterodaktil	【動】【PIV】G. (Genro) (Pterodactylus) de relative malgrandaj, mallongvostaj flugsau^roj el malfrua j^urasio, eltrovitaj en Eu^ropo. Vd pteranodonto, ramforinko.
pterokarp	【植】【PIV】G. (Genro) (Pterocarpus el fabacoj) de c^. (c^irkau^) 20 sp-oj (specioj) de tropikaj, grimpaj arboj; kelkaj log^as en mangrovoj.
pterokl	【動】【PIV】G. (Genro) (Pterocles), parenca al sirapto, de birdoj vivantaj en duondezertaj au^ stepaj regionoj de N Afriko, S Eu^ropo k U Azio. Vd stepkoko.
pterop	【動】【PIV】G. (Genro) (Pteropus) de mamuloj el la ordo de kiropteroj, grandaj fruktomang^antaj vespertoj, vivantaj en Afriko, Azio k Oceanio; «flughundoj». = ptero
pudu	【動】【PIV】G. (Genro) (Pudu) de S-Amerikaj parhufuloj el la fam. (familio) de cervedoj, la plej malgrandaj el c^iuj cervedoj, kun mallonga, simpla ramuro.
pufin	【動】【PIV】G. (Genro) (Puffinus) de maraj birdoj el la fam. (familio) de procelariedoj, kun longformaj flugiloj, kiuj venas teren nur por nesti.
pukcini	【植】【PIV】G. (Genro) (Puccinia el uredaloj) kosmopolita de 3 000−4 000 sp-oj (specioj) de rustofungoj parazitaj al multaj fam-oj (familioj) de angiospermoj.
pulmonari	【植】【PIV】G. (Genro) (Pulmonaria el boragacoj) de malaltaj, plurjaraj herboj kun simplaj, integraj, haraj, ofte blankamakulaj folioj k kun helicoidaj cumoj el fun
pulsatil	【植】【PIV】G. (Genro) (Pulsatilla el ranunkolacoj) de plurjaraj herboj kun plume dividaj folioj, kun unuopaj, senpetalaj floroj, havantaj petalecajn sepalojn po 5−
pumili	【植】【PIV】Sp. (Specio) de pino (Pinus pumilio) el la montaroj de C Eu^ropo, trunkarbusto (g^is 5 m alta) parenca al mugo.
rafanistr	【植】【PIV】Sp. (Specio) de rafano (Raphanus raphanistrum), N-hemisfera, unu-, du-au^ plur-jara herbo kun hele flavaj (kelkfoje blanketaj au^ violetaj) floroj k kun
rafi	【植】【PIV】1 G. (Genro) (Raphia el arekacoj) de monoikaj arboj (palmoj) kun tre grandaj folioj (g^is 3 m longaj k 0,2 m larg^aj), kies fibroj estas uzataj por bros
raflezi	【植】【PIV】G. (Genro) (Rafflesia el rafleziacoj) de parazitaj, monoikaj plantoj sen-tigaj k senfoliaj, kun giganta floro, eliganta kadavran odoron; c^. (c^irkau^) 
rambutan	【植】【PIV】1 Sp. (Specio) (Nephelium lappaceum el sapindacoj) de arbo el Malajzio, simila al lic^io, kultivata en SE Azio por fruktoj ovoidaj, kovritaj de moldorno
ramforink	【動】【PIV】G. (Genro) (Rhamphorhynchus) de malgrandaj, longvostaj flugsau^roj el j^urasio k tre malfrua triaso. Vd pterodaktilo, pteranodonto.
rami	【植】【PIV】1 (ark. (arkaismo, arkaisme)) G. (Genro) (Ramium) nomenklature ne legitima de bemerio. 2 C^iu sp. de bemerio (precipe Boehmeria nivea k var . tenacissim
ramn	【植】【PIV】G. (Genro) (Rhamnus el ramnacoj) de arbustoj au^ arboj kun simplaj folioj, kun malgrandaj, ne okulfrapaj floroj, verdetaj au^ flavetaj, periginaj, kvar-
ramonc^	【植】【PIV】Sp. (Specio) de flakurtio (Hindia flakurtio) el la tropika Malnova Mondo, kultivata por adstringaj, sukplenaj fruktoj.
ramur	【動】【PIV】Para, pli-malpli disbranc^ig^inta osta elkreskaj^o sur la kranio de cervedoj, kiu c^iujare defalas k renovig^as. Vd korno.
rapunkol	【植】【PIV】Sp. (Specio) de kampanulo (Campanula rapunculus) el Eu^ropo, U Azio k N Afriko, dujara herbo, kun violete bluaj floroj en longa grapolo k kun karna, man
rau^volfi	【植】【PIV】G. (Genro) (Rauvolfia el apocinacoj) de 60 sp-oj (specioj) de tropikaj herboj, kelkaj uzataj por ornamo k du (R. serpentina k R. vomitoria) kiel fonto d
ravenal	【植】【PIV】G. (Genro) (Ravenala el strelitziacoj) de nur unu sp. (R. madagascariensis) el Madagaskaro, arbo kultivata por ornama, ventumilforma foliaro el folioj c
read	【植】【PIV】Sp. (Specio) de papavero (Papaver rhoeas) kun g^enerale skarlataj floroj, hejma en Eu^ropo, N Afriko k Azio, kvazau^hejma en N Ameriko; tre ofta trudher
receptakl	【植】【PIV】Organo, portanta la reproduktig^ajn organojn; c^e florplantoj, s^velaj^o de la pedunkla apekso, portanta la florajn organojn.
remor	【動】【PIV】G. (Genro) (Remora) de precipe tropikaj k subtropikaj marfis^oj el la ordo de perkoformaj, kiuj per surkapa suc^ilo sin fiksas al la hau^to au^ la brank
reum	【植】【PIV】G. (Genro) (Rheum el poligonacoj) de plurjaraj herboj sen-au^ mallong-tigaj, kun larg^aj, integraj au^ diverse entranc^aj folioj havantaj longan, karnan
rinant	【植】【PIV】G. (Genro) (Rhinanthus el skrofulariacoj) de unu-k plur-jaraj duonparazitaj herboj kun kvarflanka tigo, kun kontrau^e duopaj, dentaj folioj k kun ofte f
rizokarp	【植】【PIV】G. (Genro) (Rhizocarpon el rizokarpacoj) de askolikenoj kun talo krusteca k kun nigraj, lecideecaj apotecioj; kosmopolita g. (genro) de c^. (c^irkau^) 2
ro	【植】【PIV】Sumako.
robini	【植】【PIV】G. (Genro) (Robinia el fabacoj) de trunkarbustoj k arboj kun plume kunmetaj folioj, kiuj c^ebaze plejofte havas dornojn po du, modifig^intajn stipulojn,
robur	【植】【PIV】Sp. (Specio) de kverko (Quercus robur, sin. (sinonimo (de latinscienca nomo)) Q. pedunculata) el Eu^ropo, alta arbo kun longe pedunklaj kupuloj k kun fo
rokcel	【植】【PIV】G. (Genro) (Roccella el rokcelacoj) de arbustecaj likenoj precipe marbordaj, sur-rokaj k -lignaj; kosmopolita g. (genro) de c^. (c^irkau^) 35 sp-oj (spe
rubetr	【動】【PIV】Sp. (Specio) de saksikolo (Saxicola rubetra) kun malhelaj vangoj, blanka strieto super c^iu okulo k du blankaj makuloj sur la vosto.
rubi	【植】【PIV】G. (Genro) (Rubia el rubiacoj) de plurjaraj herboj k arbustetoj kun kontrau^e duopaj folioj s^ajne verticilaj pro folisimilaj stipuloj; c^. (c^irkau^) 6
rudbeki	【植】【PIV】G. (Genro) (Rudbeckia el asteracoj) de unu-, du-k plur-jaraj herboj kun flavaj k/au^ rug^e brunaj radiaj kapituloj; 15 sp-oj (specioj) el N Ameriko, plu
rumeks	【植】【PIV】G. (Genro) (Rumex el poligonacoj) de unu-k plur-jaraj herboj kun floroj en grapolo au^ paniklo el s^ajnverticiloj k kun triangulsekcaj^aj akenoj, unuope
rumen	【動】【PIV】La unua stomaka pos^o de la remac^uloj, de kiu la nemac^ita herbo revenas bulforme en la bus^on. Vd omaso, abomaso, centipelio.
rusk	【植】【PIV】G. (Genro) (Ruscus el asparagacoj) de dioikaj tufarbustoj kun verdaj, klorofilaj tigoj k kun folisimilaj, ledecaj, lancetformaj kladodioj centraparte iu
rusul	【植】【PIV】G. (Genro) (Russula el rusulacoj) de ombrelfungoj diferencaj de laktario i.a. (interalie, inter aliaj) pro malesto de laktosuko, kun karno kompakta k ro
rutel	【動】【PIV】G. (Genro) (Rutilus), parenca al leu^cisko, de fis^oj el la fam. (familio) ciprinedoj, vivantaj en nesala, sen-au^ malrapid-flua akvo, el kiuj estas plo
sajmiri	【動】【PIV】G. (Genro) (Saimiri) de Amerikaj simioj malgrandaj, kun mallongaj k molaj haroj, longa vosto k longa kranio, abundaj, aktivaj, vivantaj are en altaj arb
saksikol	【動】【PIV】G. (Genro) (Saxicola), parenca al enanto, de birdoj el la ordo de paseroformaj, fam. (familio) de turdedoj, kun malhelaj koloroj, miksitaj kun blankaj p
salikorni	【植】【PIV】G. (Genro) (Salicornia el kenopodiacoj) de salejaj plantoj - unu-k plur-jaraj sukulentaj herboj k arbustetoj - kun tre malgrandaj, skvamformaj folioj k 
salsol	【植】【PIV】G. (Genro) (Salsola el kenopodiacoj) de salejaj plantoj tre parencaj al salikornio sed kun normalaj, kvankam malgrandaj, folioj k kun floroj ne en s^osk
salvelen	【動】【PIV】G. (Genro) (Salvelinus) de fis^oj el la fam. (familio) salmonedoj, tre diversformaj, vivantaj en la marborda zono de la arktaj maroj, en ties alfluantaj
samol	【植】【PIV】G. (Genro) (Samolus el primolacoj) de plurjaraj herboj kun integraj, de lini-g^is spatul-formaj folioj k kun blankaj au^ blanketaj floroj en apeksaj, ma
sangvisorb	【植】【PIV】G. (Genro) (Sanguisorba, sin. (sinonimo (de latinscienca nomo)) Poterium, el rozacoj) de plurjaraj herboj, arbustetoj k arbustoj kun nepare plume kunmet
sanikl	【植】【PIV】G. (Genro) (Sanicula el apiacoj) de plurjaraj herboj kun simplaj, mane duon-au^ kvazau^-dividaj folioj k kun blankaj floroj en malgrandaj, kapformaj umb
sanpau^li	【植】【PIV】G. (Genro) (Saintpaulia el gesneriacoj) de plurjaraj herboj kun 1−2-opaj, bluaj, blankaj, rozaj au^ violetaj floroj; c^. (c^irkau^) 20 sp-oj (specioj) e
sansevier	【植】【PIV】G. (Genro) (Sansevieria el dracenacoj) de plurjaraj sukulentaj plantoj kun au^ sen tigo, kun cilindraj au^ duoncilindraj folioj ofte blanke zebrostriaj;
sapind	【植】【PIV】G. (Genro) (Sapindus el sapindacoj) de poligamiaj arboj k trunkarbustoj kun alternaj, plume kunmetaj (kelkfoje nur unufolieraj) folioj k kun drupecaj fr
saponari	【植】【PIV】G. (Genro) (Saponaria el kariofilacoj) de unu-, du-k plur-jaraj herboj kun kontrau^e duopaj folioj k kun duflankaj cumoj; c^. (c^irkau^) 40 sp-oj (speci
saprozo	【動】【PIV】Protozoo au^ metazoo, vivanta el sapro.
saraceni	【植】【PIV】G. (Genro) (Sarracenia el saraceniacoj) de insektomang^antaj plantoj, havantaj urnojn similajn al tiuj de nepento, sed unuope konsistantajn el tuta foli
sarak	【植】【PIV】G. (Genro) (Saraca el fabacoj) de arboj kun nepare plume kunmetaj folioj k kun okulfrape koloraj, senpetalaj floroj en etaj grupoj senpere kreskantaj el
sarkopt	【動】【PIV】G. (Genro) (Sarcoptes) de araneoidoj el la ordo de akaruloj, kies inoj boras galeriojn en la hau^to de homoj k bestoj, kau^zante skabion.
sasafras	【植】【PIV】G. (Genro) (Sassafras el lau^racoj) de arboj, kies dau^remaj folioj, sekigitaj k pulvorigitaj, servas kiel spicaj^o; 3 sp-oj (specioj) el NE Ameriko k E
sature	【植】【PIV】G. (Genro) (Satureja el lamiacoj) de tre aromaj plantoj - unujaraj herboj k precipe arbustetoj - kun kontrau^e duopaj, mallarg^e lancetformaj folioj k k
saturni	【動】【PIV】G. (Genro) (Saturnia) de noktpapilioj kun grandaj, okulsimilaj makuloj sur la flugiloj.
scirp	【植】【PIV】1 (ss (striktasence)) G. (Genro) (Scirpus el ciperacoj) de unu-, du-k plur-jaraj herboj kun folioj liniformaj au^ reduktig^intaj al bazaj ingoj, k kun b
sebast	【動】【PIV】G. (Genro) (Sebastes) de fis^oj el la ordo de skorpenoformaj, tute rug^aj, naskantaj idojn k vivantaj en sufic^e grandaj profundoj.
seki	【植】【PIV】G. (Genro) (Sechium el kukurbacoj) de 6 sp-oj (specioj) de tropik-Amerikaj plantoj, el kiuj c^ajoto (S. edule).
sekvojadendr	【植】【PIV】G. (Genro) (Sequoiadendron el taksodiacoj) de nur unu sp. (S. giganteum) de konifera arbego (g^is 105 m alta k 12 m diametra), tre longviva (eble g^is 3
selaginel	【植】【PIV】G. (Genro) (Selaginella el selaginelacoj) de plejparte herbecaj, tufig^antaj, muskaspektaj pteridofitoj precipe el la varmaj regionoj; c^. (c^irkau^) 70
selin	【植】【PIV】G. (Genro) (Selinum el apiacoj) de 2 sp-oj (specioj) de plurjaraj herboj el Eu^ropo k U k C Azio.
semekarp	【植】【PIV】G. (Genro) (Semecarpus el anakardiacoj) de dau^rafoliaj arboj parencaj al anakardio, i.a. (interalie, inter aliaj) pro simila s^ajnfrukto, sed kies semo
sensitiv	【植】【PIV】Sentema mimozo.
serasalm	【動】【PIV】G. (Genro) (Serrasalmus) de dolc^akvaj S-k C-Amerikaj ciprinoformaj fis^oj, kun akregaj dentoj, k kies plej konata sp. estas piranjo 1 (S. piraya). Sin.
seratul	【植】【PIV】G. (Genro) (Serratula el asteracoj) de plurjaraj herboj parencaj al centau^reo; c^. (c^irkau^) 70 sp-oj (specioj) el Eu^ropo, Azio k N Afriko.
serin	【動】【PIV】1 G. (Genro) (Serinus) de malgrandaj birdoj el la fam. (familio) de fringedoj. 2 Sp. (Specio) de tiu g. (genro) (ordinara serino).
serpentari	【動】【PIV】Longakrura Afrika rabobirdo (unuspecia g. (genro) Sagittarius secretarius el akcipitredoj), konata kiel lerta mortiganto de serpentoj.
serpul	【植】【動】【PIV】1 G. (Genro) (Serpula el Coniophoraceae) de bazidifungoj kun krusteca bazidiujo kovrita de himenio rete falda; kosmopolita g. (genro) de 14 sp-oj (sp
serval	【動】【PIV】Sp. (Specio) de feliso (Felis serval), mezgranda Afrika rabobesto.
sesleri	【植】【PIV】G. (Genro) (Sesleria el poacoj) de c^. (c^irkau^) 30 sp-oj (specioj) de herboj el Eu^ropo k U Azio.
sev	【植】【PIV】Akveca suko, cirkulanta en la ksilemaj k floemaj tuboj: alsupra, desupra sevo. Vd suko. -> limfo.
sezel	【植】【PIV】G. (Genro) (Seseli el apiacoj) de g^enerale plurjaraj herboj kun plume dividaj folioj k kun umbeloj el multaj, blankaj au^ rug^etaj floroj; 100−120 sp-o
sfagn	【植】【PIV】G. (Genro) (Sphagnum el sfagnacoj) de c^. (c^irkau^) 150 sp-oj (specioj) de muskoj, N-hemisferaj, pluraj uzataj por kultivo k enpakado de iuj plantoj. -
sfeg	【動】【PIV】Insekto (Sphex k tre parencaj g-oj (genroj)) el la ordo de himenopteroj, kies larvoj sin nutras per ortopteroj kaptitaj k paralizitaj de piko fare de la
sfenodont	【動】【PIV】La sola nun vivanta reptilio (unuspecia g. (genro) Sphenodon punctatus) el la ordo de rinkocefaloj, trovig^anta en Nov-Zelando, kun funkcia pineala okul
sigilari	【植】【PIV】G. (Genro) (Sigillaria el likopsidoj) de arboformaj pteridofitoj kun apeksa tufo de folioj; ofta dum karbonio.
silib	【植】【PIV】G. (Genro) (Silybum el asteracoj) de unu-k du-jaraj, dornaj, fortikaj herboj kun plume duondividaj folioj, supraflanke blankamakulaj; 2 sp-oj (specioj) 
simfalang	【動】【PIV】Granda simio (unuspecia g. (genro) Symphalangus syndactylus) parenca al gibono, vivanta en Malajzio.
simfit	【植】【PIV】G. (Genro) (Symphytum el boragacoj) de plurjaraj herboj kun skorpioida cumo el ofte pendaj floroj havantaj tubforman korolon, k kun fruktoj el liberaj n
simuli	【動】【PIV】G. (Genro) (Simulium) de tre malgrandaj, sangosuc^antaj moskitoj, kies larvoj vivas en rapidflua akvo, fiksig^antaj al la substrato per sia malantau^a e
sirapt	【動】【PIV】G. (Genro) (Syrrhaptes) de kolomboformaj birdoj kun longaj pintaj flugiloj k plumkovritaj tarsoj k piedfingroj, vivantaj en C Azio k konataj pro siaj mi
sit	【動】【PIV】G. (Genro) (Sitta) de birdoj el la ordo de paseroformaj, kun blugriza dorso, kapablaj grimpi k supren k malsupren sur la arboj.
sium	【植】【PIV】G. (Genro) (Sium el apiacoj) de plurjaraj herboj ofte subakvaj, kun plume dividaj folioj; c^. (c^irkau^) 15 sp-oj (specioj) el la N hemisfero k Afriko, 
sizar	【植】【PIV】Sp. (Specio) de siumo (S. sisarum) el E Azio, pasintece kultivata por i.a. (interalie, inter aliaj) sukeroric^aj tuberecaj radikoj, mang^ataj kiel legom
sizimbri	【植】【PIV】G. (Genro) (Sisymbrium el brasikacoj) de unu-, du-k plur-jaraj herboj kun flavaj floroj k kun longe cilindraj, mallongbekaj silikvoj; c^. (c^irkau^) 80 
skandik	【植】【PIV】G. (Genro) (Scandix el apiacoj) de unujaraj herboj kun blankaj floroj en malgrandaj umbeloj k kun longbekaj, staraj fruktoj grupe aspektantaj kiel kombi
skap	【植】【PIV】Nebranc^ig^anta, senfolia tigo, apekse portanta unu au^ plurajn florojn: skapo de tulipo, de amarilido.
skin	【植】【PIV】G. (Genro) (Schinus el anakardiacoj) de dioikaj arboj k trunkarbustoj kun dau^remaj, simplaj au^ plume kunmetaj folioj k kun multaj esencaj glandoj; 27 
sklare	【植】【PIV】Sp. (Specio) de salvio (Salvia sclarea) el S Eu^ropo k U k C Azio, tre aroma pro multaj esencaj glandoj, kun hele lilaj floroj, kultivata por medicino k
sklerant	【植】【PIV】G. (Genro) (Scleranthus el kariofilacoj) de unu-, du-k plur-jaraj herboj kun malgrandaj, blanketaj au^ verdetaj, senpetalaj floroj; c^. (c^irkau^) 15 sp
sklerenkim	【植】【PIV】(pp (se paroli pri) vaskulplantoj) Histo el c^eloj kun dika muro pli-malpli lignecig^inta. Vd parenkimo, kolenkimo. -> sklera.
skoleks	【動】【PIV】(scolex) Kapo de cestodo, kun kupoj au^ hokoj.
skolim	【植】【PIV】G. (Genro) (Scolymus el asteracoj) de 3 sp-oj (specioj) de dornaj, mediteraneaj herboj.
skolopendri	【植】【PIV】Sp. (Specio) de asplenio (Asplenium scolopendrium) el Eu^ropo, pororname kultivata, plurjara filiko kun simplaj, integraj, lancetformaj folioj monstre m
skorpiur	【植】【PIV】G. (Genro) (Scorpiurus el fabacoj) de unujaraj herboj, kies helicoidaj gus^oj havas strangan, larvosimilan aspekton; 2−4 sp-oj (specioj) el Makaronezio,
skrofulari	【植】【PIV】G. (Genro) (Scrophularia el skrofulariacoj) de du-k plur-jaraj herboj kun kvarflankaj tigoj, kun kontrau^e duopaj folioj k kun malgrandaj floroj en akse
skutelari	【植】【PIV】G. (Genro) (Scutellaria el lamiacoj) de plantoj - unu-k plur-jaraj herboj k arbustetoj - kun grapoloj au^ spikoj el floroj, karakterizataj de longtuba, 
skvaten	【動】【PIV】G. (Genro) (Squatina) de maraj fis^oj el la ordo de elasmobrankoj, transig^aj inter s^arkoj k rajoj.
smilak	【植】【PIV】G. (Genro) (Smilax el smilakacoj) de dioikaj lianoj herbecaj au^ lignecaj, plejparte dornaj, c^irohavaj k grimpaj (kelkaj rampaj), kun malgrandaj floroj
smilodont	【動】【PIV】G. (Genro) (Smilodon) de formortintaj rabobestoj el la fam. (familio) de felisedoj, kun grandaj, sabroformaj kaninoj, kiuj vivis en N Ameriko dum malfru
sofor	【植】【PIV】G. (Genro) (Sophora el fabacoj) de arboj, arbustoj k arbustetoj, kies junaj branc^oj restas verdaj dum pluraj jaroj, kun plume kunmetaj folioj, kun blan
somateri	【動】【PIV】Molanaso.
sonk	【植】【PIV】G. (Genro) (Sonchus el asteracoj) de plantoj - unu-, du-k plur-jaraj herboj k arbustoj - laktosukohavaj, kun langetfloraj kapituloj; c^. (c^irkau^) 60 s
sorbus	【植】【PIV】G. (Genro) (Sorbus el rozacoj) de falfoliaj arboj, arbustoj k arbustetoj kun folioj simplaj (alizujoj) au^ plume kunmetaj (aliaj sp-oj (specioj)), kun b
spadik	【植】【PIV】Spikforma infloresko, en kiu la floroj sidas sur ofte dika k karna akso c^irkau^ita de granda brakteo (Vd spato): spadiko de arumacoj k de palmoj.
spargani	【植】【PIV】G. (Genro) (Sparganium el sparganiacoj) de unu-k plur-jaraj, dioikaj herboj kun liniformaj folioj k kun floroj en globaj kapituloj; 14 sp-oj (specioj) h
sparti	【植】【PIV】G. (Genro) (Spartium el fabacoj) de nur unu sp. (S. junceum), tufarbusto parenca al genisto, kun maldikaj, verdaj, malmultafoliaj s^osoj k kun multaj fl
spatang	【動】【PIV】G. (Genro) (Spatangus) de plate korformaj ekinoidoj, kiuj log^as en kota sablo marborda.
spergul	【植】【PIV】G. (Genro) (Spergula el kariofilacoj) de unu-k du-jaraj herboj kun s^ajne verticilaj, liniformaj folioj k kun 5-stilusaj floroj; 6 sp-oj (specioj) el la
spergulari	【植】【PIV】G. (Genro) (Spergularia el kariofilacoj) de unu-, du-k plur-jaraj herboj kun kontrau^e duopaj au^ s^ajne verticilaj, liniformaj folioj k kun 3-stilusaj 
spermogoni	【植】【PIV】Spermatiujo.
spirantes	【植】【PIV】G. (Genro) (Spiranthes el orkidacoj) de plurjaraj herboj kun senspronaj, blankaj floroj en helica spiko; c^. (c^irkau^) 30 sp-oj (specioj) el la tropika
spire	【植】【PIV】1 (ss (striktasence)) G. (Genro) (Spiraea el rozacoj) de plurjaraj, falfoliaj tufarbustoj kun simplaj folioj, kun blankaj au^ rozaj, 5-nombraj floroj en
sporofit	【植】【PIV】(pp (se paroli pri) plantoj havantaj alternadon de generacioj) Duploida generacio de planto, kiu devenas el la zigoto k ofte produktas sporojn (mejozajn
sporogoni	【植】【PIV】Sporofito de la briofitoj (muskoj k hepatmuskoj), tipe konsistanta el pedunkleto portanta kapsulon, en kiu formig^as sporoj.
sporotrikum	【植】【PIV】G. (Genro) (Sporotrichum) kosmopolita de c^. (c^irkau^) 40 sp-oj (specioj) de neperfektaj fungoj.
stapeli	【植】【PIV】G. (Genro) (Stapelia el asklepiadacoj) de sukulentaj, plurjaraj herboj kun g^enerale kvarflankaj klorofilaj tigoj, sen au^ kun nur rudimentaj, fruevolue
stegosau^r	【動】【PIV】G. (Genro) (Stegosaurus) de g randaj herbovoraj dinosau^roj el la ordo ornitiskioj, kun konveksa dorso, kovrita de staraj pintaj platoj, k kun dorna vos
stelari	【植】【PIV】G. (Genro) (Stellaria el kariofilacoj) de unu-k plur-jaraj, kelkfoje grimpaj herboj kun g^enerale blankaj floroj, kies kvin petaloj (kelkfoje nulaj) est
stelion	【動】【PIV】Sp. (Specio) de agamo (Agama stellio) malhelkolora, E-mediteranea.
sterkorari	【動】【PIV】Rabmevo.
sterkuli	【植】【PIV】G. (Genro) (Sterculia el sterkuliacoj), parenca al kolao, de c^. (c^irkau^) 150 sp-oj (specioj) de tropikaj arboj dau^ra-au^ fal-foliaj.
stipit	【植】【PIV】Stipo ②.
stipul	【植】【PIV】C^iu el la du elkreskaj^oj c^e la bazo de la folioj de iuj florplantoj, folisimila, dorno-au^ skvamo-forma.
stolon	【植】【PIV】S^oso pli-malpli longa, sub-, sur-au^ super-tera, c^e iuj nodoj, produktanta malsupren adventivajn radikojn po pluraj, supren burg^onojn po unu, finevol
stom	【植】【PIV】Organo en formo de bus^osimila aperturo, trovig^anta multnombre en la epidermo de la vaskulplantoj k de iuj briofitoj, konsistanta el du, malofte tri st
stramoni	【植】【PIV】Sp. (Specio) de daturo (Datura stramonium), unujara, tre venena herbo kun trumpetformaj, blankaj floroj k kun dornaj kapsuloj; origina el N Ameriko, sed
stratiot	【植】【PIV】G. (Genro) (Stratiotes el hidrokaritacoj) de nur unu sp. (S. aloides), el Eu^ropo k Azio, dioika, plurjara akvoplanto, aspektanta kiel aloo, havanta roz
strelici	【植】【PIV】G. (Genro) (Strelitzia el streliciacoj) de 5 sp-oj (specioj) de S-Afrikaj plurjaraj herboj, aspektantaj kiel etaj palmarboj, kelkaj pororname kultivataj
streptopeli	【動】【PIV】G. (Genro) (Streptopelia) de birdoj el la fam. (familio) de kolombedoj, al kiu apartenas i.a. (interalie, inter aliaj) turto.
strikn	【植】【PIV】G. (Genro) (Strychnos el loganiacoj) de plantoj - arboj, trunkarbustoj, lignecaj lianoj - kun s^osoj ofte volvig^antaj au^ grimpaj per c^iroj, kun kontr
strob	【植】【PIV】Vejmuta pino (Pinus strobus).
strofant	【植】【PIV】G. (Genro) (Strophantus el apocinacoj) de lignecaj lianoj au^ arbustoj; c^. (c^irkau^) 40 sp-oj (specioj) el la tropika Malnova Mondo, kelkaj pororname 
strofari	【植】【PIV】G. (Genro) (Stropharia el strofariacoj) de ombrelfungoj kun ringo k brunvioletaj lamenoj; c^. (c^irkau^) 15 sp-oj (specioj), tre disvastig^intaj. Vd fol
