sargas	{Ｏ}【植】ホンダワラ属（の海藻）
arvikol	【動】【PIV】G. (Genro) (Arvicola) de rong^uloj parencaj al mikroto, havantaj mallongajn oreloj n, fosantaj galeriojn en la tero, kie ili kolektas terpomojn au^ radi
aspidistr	【植】【PIV】G. (Genro) (Aspidistra el konvalacoj) de plurjaraj, dau^rafoliaj herboj kun rampa rizomo, kiu portas grandajn foliojn petiolajn, malhele verdajn; c^. (c
astilb	【植】【PIV】G. (Genro) (Astilbe el saksifragacoj) de plurjaraj herboj kun multegaj, malgrandaj floroj en pinta, kunmeta paniklo; 12 sp-oj (specioj) el E Azio k NU A
astrakant	【植】【PIV】G. (Genro) (Astracantha el fabacoj) parenca al astragalo, de dornaj, ofte kusenformaj arbustoj; c^. (c^irkau^) 250 sp-oj (specioj) el SU Azio, pluraj.
astre	【植】【PIV】G. (Genro) (Astraeus el astreacoj el gasteromicetoj) de fungoj, aspektantaj kiel geastroj, kies ekstera parieto de bazidiujo humidastate stelforme stern
atel	【動】【PIV】G. (Genro) (Ateles) de Amerikaj simioj el la fam. (familio) de cebedoj, kun longegaj membroj k tre longa vosto prenpova.
atropos	【動】【PIV】Plej konata sp. de akerontio (Acherontia atropos), kun krani-simila desegnaj^o sur la torako k kun rau^po sin nutranta precipe per solanacoj, i.a. (inte
au^brieti	【植】【PIV】G. (Genro) (Aubrietia el brasikacoj) de tre malaltaj, kvazau^ tapis^formantaj, plurjaraj herboj kun kus^aj tigoj k multegaj helrug^aj, helbluaj au^ blue
au^ksin	【植】【化】【PIV】(kn (kolektiva nomo)) Vegetaj^a hormono (kun ducikla, nitrogenohava molekulo), kiu reguligas la kreskon de la plantoj: indolacetata acido (IAA), C 10
au^kub	【植】【PIV】G. (Genro) (Aucuba el kornusacoj) de dau^rafoliaj, dioikaj tufarbustoj kun briletaj, ledecaj, kontrau^e duopaj, integraj au^ dentaj folioj, kun g^eneral
au^kume	【植】【PIV】G. (Genro) (Aucoumea el burseracoj) de nur unu sp. (A. klaineana), alta arbo el tropika U Afriko, kun ligno rozkolora k malpeza, uzata en lignaj^arto k 
au^rikulari	【植】【PIV】G. (Genro) (Auricularia el au^rikulariacoj) de glathimeniaj fungoj, kies pli-malpli gelateneca bazidiujo fiksig^as al la substrato per mallarg^a bazo k 
au^stralopitek	【動】【PIV】G. (Genro) (Australopithecus) de fosiliaj homenoj, dupiedaj, kun cerbo c^. (c^irkau^) 500 cm (centimetro) ^3 volumena. En Afriko estis elfositaj pluraj 
avero	【植】【PIV】G. (Genro) (Averrhoa el oksalidacoj) de du sp-oj (specioj) de arboj, eble originaj el E Brazilo au^ Malajzio, kultivataj en tropikaj landoj por acidetaj
aviceni	【植】【PIV】G. (Genro) (Avicennia el verbenacoj) de 4−7 sp-oj (specioj) de arbustoj, log^antaj en mangrovoj.
avikulari	【動】【PIV】G. (Genro) (Avicularia, sin. (sinonimo (de latinscienca nomo)) Mygale) de tropikaj grandaj araneuloj el la fam. (familio) de terafozedoj. Sin. (sinonimo
avocet	【動】【PIV】Sp. (Specio) (Recurvirostra avosetta) de birdo el la ordo de karadriformaj, fam. (familio) de karadriedoj, blanka, kun nigraj vosto, s^ultroj k parto de
azarol	【植】【PIV】Sp. (Specio) de kratago (Crataegus azarolus), E-Mediteranea trunkarbusto kultivata por fruktoj (drupoj 1-5-kernaj) c^erizograndaj, flavaj au^ orang^e ru
azimen	【植】【PIV】G. (Genro) (Asimina el anonacoj) de arbustoj k malgrandaj arboj kun beroj; 8 sp-oj (specioj) el NE Ameriko.
azol	【植】【PIV】G. (Genro) (Azolla el azolacoj) de 6 sp-oj (specioj) de tre etaj, flosantaj akvofilikoj el la tropikaj k varmaj regionoj; uzataj kiel verda sterkaj^o en
balantidi	【動】【PIV】G. (Genro) (Balantidium) de ciliuloj parazitaj en la intesto de vertebruloj.
balat	【植】【化】【PIV】1 Sp. (Specio) de manilkaro (Manilkara bidentata, sin. (sinonimo (de latinscienca nomo)) Mimusops balata), tropik-Amerika arbo, kies s^elo estas ric^
