# ★このファイルに載っている表示だけが使用可能。新しい組み合わせを作ってはいけない。

## [1] 既存の単字master = 2091字 (生物に使われているものを先頭に)
字	語根数	既に何に割り当てられているか
梗	2	pedunkl=【植】花柄;【解】脳脚
蠕	2	helmint=【動】【PIV】Kn (Kolektiva no
颠	2	atrop=【植】【PIV】G. (Genro) (Atro
柄	2	stip={Ｏ}【植】ハネガヤ（羽茅）（属）;【植】（キノ
寄	2	visk={Ｏ}【植】ヤドリギ（宿木）（属）
杉	1	abi={Ｂ}【植】モミ（樅）（属）
燕	1	hirund={Ｂ}【鳥】ツバメ（属）;=domhirundo
豌	1	piz={Ｂ}【植】エンドウ（豌豆）（属）;《般》えんど
桦	1	betul={Ｂ}【植】カバノキ（属）,シラカバ（白樺）
蹄	1	huf={Ｂ}【動】ひづめ（蹄）
鹃	1	kukol={Ｂ}【鳥】カッコウ（属）
葡	1	vit={Ｂ}【植】ブドウ（葡萄）（属）,=vinber
鸭	1	anas={Ｂ}【鳥】アヒル（家鴨）
象	1	elefant={Ｂ}【動】ゾウ（象）
肋	1	rip={Ｂ}【解】肋骨（ろっこつ）,あばら骨;【植】葉
梨	1	pir={Ｂ}【果】ナシ（梨）,洋ナシ
粟	1	panic=《Ｎ》【植】キビ（黍）（属）,>>mileo
桃	1	persik={Ｂ}【果】モモ（桃）
虎	1	tigr={Ｂ}【動】トラ（虎）
鹅	1	anser={Ｂ}【鳥】ガチョウ（鵞鳥）;《転》まぬけ者
鹤	1	gru={Ｂ}【鳥】ツル
驼	1	kamel={Ｂ}【動】ラクダ（属）
椰	1	kokos={Ｂ}【果】ヤシの実,ココナッツ;【植】=kok
蝎	1	skorpi={Ｂ}【動】サソリ（蠍）（目の総称）;【聖】さそ
阀	1	valv=【機】弁,バルブ;（タイヤの）チューブバルブ;【
蚤	1	pul={Ｏ}【動】ノミ（蚤）（ノミ目の総称）,>>ci
蔗	1	sakar=【植】【PIV】G. (Genro) (Sacc
串	1	grapol=（花や果実の）房;【植】総状花序
蟋	1	gril={Ｏ}【虫】コオロギ
蜕	1	mud=【動】【PIV】S^ang^ig^o de ha
桑	1	morus={Ｏ}【果】桑（くわ）の実;【植】=morusa
腋	1	aksel={Ｏ}【解】腋（わき）の下;【植】葉腋（ようえき
茅	1	espart=【植】【PIV】Komuna nomo de d
薯	1	maniok={Ｏ}【植】キャッサバ,マニオク,>>tapio
