# ★このファイルに載っている表示だけが使用可能。新しい組み合わせを作ってはいけない。

## [1] 既存の単字master = 2091字 (生物に使われているものを先頭に)
字	語根数	既に何に割り当てられているか
他们(ili) 也不(nek) 我们(ni) 再见(adiaŭ) 自由(liber) 面包(pan) 黄油(buter) 十字(kruc) 干草(fojn) 烟斗(pip)
小说(roman) 领带(kravat) 下巴(menton) 护照(pasport) 马棚(stal) 紫花(viol) 烟灰(fulg) 直角(ort) 法院(tribunal) 汽油(benzin)
水泥(cement) 手套(gant) 共和(respublik) 疫苗(vakcin) 白石(kret) 十亿(miliard) 借口(pretekst) 散文(proz) 火药(pulv) 热带(tropik)
结巴(balbut) 野餐(piknik) 数学(matematik) 最小(minimum) 目皮(palpebr) 大衣(palt) 拖鞋(pantofl) 教皇(pap) 养老(pensi) 火腿(ŝink)
牛排(bifstek) 嫁妆(dot) 双胎(ĝemel) 语法(gramatik) 庆典(jubile) 气候(klimat) 口顶(palat) 陶土(fajenc) 收割(falĉ) 正面(fasad)
妖精(fe) 流体(fluid) 喷泉(fontan) 扶椅(fotel) 燕尾(frak) 漏斗(funel) 套鞋(galoŝ) 明胶(gelaten) 宪兵(ĝendarm) 流感(grip)
焦油(gudr) 棚库(hangar) 公顷(hektar) 当局(instanc) 质询(interpelaci) 残疾(invalid) 束缚(jug) 瓷砖(kahel) 狂欢(karnaval) 上校(kolonel)
专员(komisar) 和合(konkord) 领事(konsul) 异议(kontest) 电流(kurent) 实验室(laboratori) 灯笼(lantern) 蜗牛(limak) 机车(lokomotiv) 经度(longitud)
润滑(lubrik) 庄严(majest) 脚腕(maleol) 果酱(marmelad) 冶金(metalurgi) 口鼻(muzel) 军官(oficir) 歌剧(oper) 演说(orator) 孔雀(pav)
盐浸(pekl) 领航(pilot) 足底(pland) 复数(plural) 先知(profet) 花边(punt) 散热(radiator) 沙哑(raŭk) 毛虫(raŭp) 反应(reakci)
胡狼(ŝakal) 讽刺(satir) 上院(senat) 海绵(spong) 圆木(ŝtip) 鸵鸟(strut) 精细(subtil) 沙响(susur) 壁纸(tapet) 激流(torent)
条约(traktat) 电车(tram) 小号(trumpet) 旱桥(viadukt) 火山(vulkan) 氧化(oksid) 天王星(uran) 胞子(spor) 弹簧(risort) 星系(galaksi)
麦芽(malt) 光学(optik) 链节(mer) 石膏(gips) 刺草(kard) 血清(ser) 粘土(argil) 量子(kvantum) 挂饰(mobil) 臭氧(ozon)
圆柱(cilindr) 甲板(ferdek) 月经(menstru) 焦点(fokus) 主教(episkop) 方程(ekvaci) 立体(stereo) 酵母(gist) 信使(kurier) 混凝(beton)
子叶(kotiledon) 对数(logaritm) 踏板(pedal) 有机(organik) 投资(invest) 圣像(ikon) 水合(hidrat) 拳击(boks) 细菌(mikrob) 嫁接(greft)
系数(koeficient) 寄生(parazit) 贪食(vor) 神话(mit) 战车(tank) 抽风(konvulsi) 抑扬(jamb) 大理石(marmor) 多尿(diurez) 结肠(kojl)
正统(ortodoks) 安息香(benzo) 福音(evangeli) 中音(ald) 突变(mutaci) 神道(s^into) 离心(centrifug) 变形虫(ameb) 教条(dogm) 固醇(sterol)
手淫(masturb) 蛀牙(kari) 征募(rekrut) 坐标(koordinat) 缓冲(bufr) 单位(unit) 枢机(kardinal) 句法(sintaks) 扬抑(troke) 独裁(diktator)
通量(fluks) 球门(gol) 殷勤(galant) 假肢(protez) 不育(steril) 虹膜(iris) 反应堆(reaktor) 象牙(ebur) 军团(korpus) 提督(admiral)
偶像(idol) 破产(bankrot) 酵素(enzim) 出血(hemoragi) 台球(bilard) 击剑(skerm) 白热(inkandesk) 制革(tan) 火箭(raket) 矢量(vektor)
放肆(impertinent) 临界(krit) 衍射(difrakt) 乌银(niel) 外阴(vulv) 鱼雷(torped) 梅毒(sifilis) 消毒(desinfekt) 珠蛋白(globin) 恶棍(kanajl)
网膜(retin) 背带(s^elk) 竖井(s^akt) 液压(hidrau^lik) 决斗(duel) 手雷(grenad) 龙卷(tromb) 鱼卵(fraj) 鸡尾酒(koktel) 小跑(trot)
即兴(improviz) 风湿(reu^mat) 上诉(apelaci) 轻浮(frivol) 片岩(skist) 地方(endemi) 假正(prud) 船渠(dok) 异端(herez) 泥灰(marn)
火花(spark) 罗盘(kompas) 伪善(hipokrit) 办公(kancelari) 皱绸(krep) 预测(prognoz) 阴道(vagin) 修会(orden) 特权(privilegi) 国库(fisk)
皮重(tar) 酒石(tartr) 土著(indig^en) 代数(algebr) 暗示(sugesti) 荧光(fluoresk) 墓窖(kript) 海盗(pirat) 虹吸(sifon) 仓鼠(hamstr)
指数(eksponent) 会士(kanonik) 讲价(marc^and) 基金(fondus) 急救(sukur) 压力(stres) 民俗(folklor) 公爵(duk) 黄道(zodiak) 沮丧(deprim)
共济会(framason) 高利(uzur) 龙舌兰(agav) 曲棍球(hoke) 泻湖(lagun) 内分泌(endokrin) 自然(natural) 食管(ezofag) 引信(fuze) 挑战(defi)
信管(fuz) 代谢(metabol) 坏死(gangren) 种姓(kast) 滑翔(glis) 催情(afrodizi) 哑铃(halter) 男高音(tenor) 词汇(leksik) 积分(integral)
挫伤(kontuz) 助祭(diakon) 曲柄(krank) 安乐死(eu^tanazi) 直觉(intuici) 黄癣(fav) 直肠(rektum) 变焦(zom) 导演(reg^isor) 青春(adolesk)
女高音(sopran) 石蜡(parafin) 岩浆(magm) 染色体(kromosom) 化石(fosili) 云母(glim) 疏散(evaku) 毛细(kapilar) 间隔(interval) 垄断(trust)
柱头(kapitel) 核糖体(ribosom) 便秘(konstip) 鼓室(timpan) 压光(kalandr) 卯眼(mortez) 沼气(metan) 贫血(anemi) 两栖(amfibi) 遗传(genetik)
石英(kvarc) 地鼠(talp) 精灵(kobold) 美学(estetik) 共生(simbioz) 石墨(grafit) 挖泥(drag) 桨船(galer) 汇编(asembl) 方块(karo)
右边(tribord) 大提琴(violonc^el) 光圈(diafragm) 晕染(stomp) 触轮(trole) 帆楼(top) 纵欲(orgi) 车杆(timon) 换行(aline) 三角洲(delt)
传真(faks) 成衣(konfekci) 船左(babord) 坏血(skorbut) 脱衣舞(striptiz) 腐土(hum) 绿玉(smerald) 风化(efloresk) 公证(notari) 火葬(kremaci)
汞齐(amalgam) 阴蒂(klitor) 杂耍(variete) 脉膜(koroid) 白蛋白(albumin) 祈堂(kapel) 方舟(arke) 脉石(gang) 胰岛素(insulin) 分列(defil)
虫垂(apendic) 前列腺(prostat) 透析(dializ) 向心(centripet) 迷宫(labirint) 修辞(retorik) 透空(aj^ur) 圣饼(hosti) 原油(naft) 压舱(balast)
演绎(dedukt) 儿茶(katec^u) 棉塞(tampon) 圣诞(jul) 焦糖(karamel) 杂技(akrobat) 拖网(trol) 配筋(armatur) 受难(kalvari) 结核素(tuberkulin)
人造油(margarin) 合成(anabol) 步兵(infanteri) 救世(mesi) 波纹(muar) 法官(pretor) 粉丝(vermic^el) 分词(particip) 破坏(sabot) 巧合(koincid)
声门(glot) 异构(izomer) 走私(kontraband) 阴户(pic^) 窖藏(insil) 蛋白石(opal) 长号(trombon) 脑膜(mening) 教士(klerik) 炮兵(artileri)
配子(gamet) 滑轮(puli) 刺刀(bajonet) 发球(servir) 机枪(mitral) 教义(doktrin) 低领(dekolt) 棱镜(prism) 景气(konjunktur) 冷笑(cinik)
周边(periferi) 教化(edif) 色素(pigment) 倾析(dekant) 浪漫(romantik) 内缘(konkub) 柔道(j^ud) 编纹(gilos^) 半径(radius) 十二(dodeka)
分流(s^unt) 无差(aplanat) 血球(globul) 去势(kastr) 卵管(salping) 势利(snob) 托盘(paled) 折衷(eklektik) 冰川(glac^er) 皱胃(lab)
天文台(observatori) 前提(premis) 板岩(ardez) 诊断(diagnoz) 遗物(relikv) 拱架(cintr) 不可知(agnostik) 香兰(vanil) 蛛膜(araknoid) 纺锤(spindel)
二度(dut) 牙肉(gingiv) 自流(artez) 玛瑙(oniks) 初一(kalend) 刮匙(kuret) 密码子(kodon) 轴线(trace) 脓泡(pustul) 书法(kaligraf)
断层(fau^lt) 二头肌(biceps) 假发(peruk) 谷氨(glutam) 穿刺(punkci) 花岗岩(granit) 碎石(makadam) 缝合(sutur) 电感(induktanc) 棒球(basbal)
清教(puritan) 包皮(prepuci) 肿瘤(onk) 壁凹(nic^) 审判(inkvizici) 农药(pesticid) 活塞(pis^t) 围猎(batu) 粗粉(s^rot) 复兴(renesanc)
万向(kardan) 十二指肠(duoden) 萝卜素(karoten) 物神(fetic^) 螺菌(spiril) 鲨皮(s^agrin) 熔锅(krisol) 王牌(atut) 脑弓(forniks) 潜衣(skafandr)
座屈(knik) 拖车(remork) 侍臣(c^ambelan) 铜绿(verdigr) 侧头(tempi) 行李(bagag^) 内省(introspekt) 双帆船(brig) 脊髓病(tabet) 盲肠(cekum)
互变(tau^tomer) 腮腺(parotid) 针线(mercer) 囊肿(kist) 消旋(racem) 铸版(klis^) 凝油(napalm) 阴茎(penis) 轰动(sensaci) 待收(iredent)
藤黄(gumigut) 肉瘤(sarkom) 淋菌(gonokok) 担架(brankard) 苗条(svelt) 短诗(hajk) 附身(tranc) 同位素(izotop) 妓院(bordel) 球蛋白(globulin)
悍妇(meger) 戏法(prestidigit) 黑话(j^argon) 交配(kopul) 异位(ektopi) 钻颅(trepan) 三硝(trinitr) 刻面(facet) 底栖(bent) 蛇纹石(serpenten)
梦游(somnambul) 鼓膜(miring) 随机(stokast) 住所(domicil) 子午(meridian) 瓷土(kaolin) 反磁(diamagnet) 眼板(tarz) 导弹(misil) 哈喇(ranc)
水渠(irigaci) 洋红(karmin) 弹药(munici) 肉排(stek) 挥发(volatil) 尖拱(ogiv) 麻风(lepr) 白胞(leu^kocit) 助学(stipendi) 高汤(buljon)
欢呼(aklam) 密螺旋体(treponem) 腻子(mastik) 冲浪(surf) 丝虫(filari) 星座(konstelaci) 感伤(sentimental) 铁磁(feromagnet) 坐骨(iski) 管面(makaroni)
仁糖(pralin) 结膜(konjunktiv) 主脉(aort) 爱国(patriot) 安神(neu^rolept) 辩证(dialektik) 羊膜(amni) 制裁(sankci) 冲压(s^tanc) 二色(dikro)
原核(prokariot) 原兽(protozo) 品类(sortiment) 板障(diplo) 发音(artikulaci) 堆肥(kompos^t) 香芹(petrosel) 顺磁(paramagnet) 男中音(bariton) 游说(lobi)
尿道(uretr) 散光(astigmat) 教养(guvern) 脓肿(absces) 教权(klerikal) 白金(platen) 摇琴(gurd) 接力(stafet) 发育(puber) 圣公(anglikan)
开除(ekskomunik) 导师(mentor) 圣行(suna) 交响(simfoni) 真核(eu^kariot) 资源(resurs) 效率(rendiment) 西米(sagu) 圆舞(vals) 木馏(kreozot)
载体(vehikl) 胃门(kardj) 万花筒(kalejdoskop) 检察(prokuror) 前卫(avangard) 自游(nekton) 标点(interpunkci) 气肿(emfizem) 阳台(balkon) 割礼(cirkumcid)
斗牛(tore) 螺旋体(spiroket) 交感(simpat) 监护(kurator) 胆碱(kolin) 青霉素(penicilin) 线脚(modlur) 一神(unitari) 美甲(manikur) 氢化(hidrid)
擦鼻(mung) 蚀变(alteraci) 斑岩(porfir) 族长(patriark) 共振(mezomer) 绞痛(kolik) 字节(bajt) 藏红花(safran) 和服(kimon) 逆气(singult)
不害(ahims) 磷光(fosforesk) 补贴(subvenci) 合子(zigot) 纤蛋白(fibrin) 厌女(mizogin) 凸轮(kam) 拍卖(au^kci) 高潮(orgasm) 园艺(hortikultur)
财务官(kvestor) 贝岩(falun) 浮游(plankton) 水彩(akvarel) 设计(dezajn) 背风(le) 缆路(telfer) 人质(ostag^) 测地(geodezi) 优生(eu^genik)
铁床(ambos) 万岁(hura) 帆杆(bum) 沙丘(dun) 质子(prot) 抵制(bojkot) 易变(labil) 玉雕(gliptik) 熔岩(laf) 狮面(sfinks)
唱名(solfeg^) 柿涩(s^ibu) 光环(au^reol) 保单(polis) 无定(astat) 圣礼(sakrament) 铜盘(cimbal) 铃鼓(tamburin) 咬舌(lisp) 欧议(eu^roparlament)
僵病(muskardin) 菌症(mikoz) 石榴(grenat) 产科(obstetrik) 烤包(toast) 分音(dierez) 羊神(satirus) 母系(matriark) 修脚(pedikur) 碎粒(gri)
激光(laser) 念珠(rozari) 相扑(sumo) 痛风(podagr) 失速(stau^l) 半球(hemisfer) 算子(operator) 嗜睡(letargi) 议堂(kapitol) 特征(ejgen)
神灵(dajmon) 章程(statut) 遗尿(enurez) 石蕊(lakmus) 引爆(prajm) 酥盒(volovan) 梦魔(inkub) 乳头瘤(papilom) 链球菌(streptokok) 重晶石(barit)
变形(anamorfoz) 一性(monofizit) 送气(aspiraci) 多血(pletor) 皇院(rota) 分裂(skizoid) 胸骨(sternum) 风箱(balg) 焦疤(eskar) 歧义(ambigu)
书体(uncial) 千年(mileni) 副本(duplikat) 探矿(prospektor) 整脊(kiropraktik) 同时(simultan) 诡辩(sofism) 环氧(epoksi) 重氮(diazoni) 吊袜(j^artel)
清唱剧(oratori) 地主(junkr) 后卫(arier) 风琴(harmonium) 农社(kolh^oz) 足数(kvorum) 兽医(veterinar) 兔眼(lagoftalm) 财魔(mamon) 提花(j^akard)
炸糕(benjet) 深红(karmezin) 准直(kolimat) 葡萄球菌(stafilokok) 二重(duet) 增补(koopt) 小夜曲(serenad) 军团菌(legionel) 缺席(kontumac) 朝拜(hag^)
舱底(bilg^) 减分(mejoz) 坐神(iskiat) 短号(kornet) 对质(konfront) 散音(arpeg^) 富养(eu^trof) 失读(aleksi) 合金(aloj) 十四行诗(sonet)
离婚(divorc) 长老(presbiterian) 浆膜(seroz) 精丘(verumontan) 压花(gofr) 苦僧(s^raman) 调车(rang^) 关节强直(ankiloz) 齿质(dentin) 滴定(titr)
毒木(upas) 语素(morfem) 补马(remont) 讲师(docent) 随员(atas^e) 上皮(epiteli) 反流(regurgit) 蛋奶酥(sufle) 协同作用(sinergi) 驻官(rezident)
弹道(balistik) 毒气(miasm) 过敏(alergi) 威望(prestig^) 军士(serg^ent) 护舰(korvet) 浅海(neritik) 秘会(konklav) 少数(minoritat) 腹膜(peritone)
马枪(karaben) 麻黄碱(efedrin) 绞盘(kapstan) 信委(fideikomis) 焚风(fen) 干尸(mumi) 半人马(centau^r) 引理(lem) 违规(fau^l) 公理(aksiom)
外推(ekstrapol) 垂死(agoni) 编译(kompiler) 阴囊(skrot) 糖蜜(melas) 里脊(file) 破伤风(tetanos) 辙叉(frog) 副祭(vikari) 日光环(koron)
影射(insinu) 终端(terminal) 系部(pastern) 老花(presbiop) 摄政(regent) 退休金(emeritur) 末启(apokalips) 百日咳(koklus^) 凝胶(g^el) 奶冻(puding)
等势(ekvipotencial) 招魂(nekromanci) 浮世绘(ukij) 吊带(suspensori) 遗赠(legac) 肚肠(anduj) 黄铁矿(pirit) 挂轴(kakemon) 头巾(turban) 巨象(mamut)
多香果(piment) 暗渠(kulvert) 彩窗(vitral) 后脑(okcipit) 恐龙(dinosau^r) 性腺(gonad) 腊肠(salam) 束腰(korset) 黄瘤(ksantom) 复活(resurekt)
桥牌(brig^) 没收(konfisk) 室膜(ependim) 外差(heterodin) 牙骨质(c^ement) 八分(oktant) 高压锅(au^toklav) 质数(prim) 路障(barikad) 斜角(skalen)
水粉(guas^) 词典(leksikon) 失语(afazi) 低音(bordun) 蜡画(enkau^stik) 天顶(zenit) 粉砂(silt) 炭疮(antraks) 对流(konvekt) 纤素(celuloz)
桶板(dau^b) 钉头锤(madz) 对流层(troposfer) 论文(disertaci) 苦行(asket) 屈光(ametrop) 航向(kapus) 柱廊(portik) 凝灰(tof) 支学(kladik)
肌瘤(miom) 调色板(paletr) 蜂群(esamen) 葡萄(uv) 贫窟(slum) 后生(metazo) 四重(kvartet) 山花(fronton) 记者(reporter) 百队(centuri)
切分(sinkop) 征用(rekvizici) 闲职(sinekur) 滴答(tiktak) 炮架(afust) 面子(puntili) 内向(introvertit) 军帽(kep) 梅花(tref) 膝窝(poplit)
散瞳(midriaz) 百叶窗(s^utr) 厌人(mizantrop) 啰音(rasl) 空铅(kadrat) 葡萄膜(uve) 龙香(ambr) 磨蚀(abrazi) 机器人(robot) 报复(reprezali)
羊皮纸(pergamen) 烧炭党(karbonar) 双驼(baktri) 烟碱(nikotin) 退位(abdik) 泪囊(dakriocist) 耳蜗(kokle) 纵标(ordinat) 乐迷(meloman) 菊石(amonit)
挽歌(elegi) 马球(polo) 研讨(seminari) 疑难(kazu) 箭毒(kurar) 蛋黄(vitel) 偏心(ekscentrik) 新星(nova) 象形(hieroglif) 首柱(steven)
向斜(sinklinal) 单杠(rek) 夹板(splint) 预科(propedeu^tik) 失望(desapont) 钟琴(kariljon) 哑剧(pantomim) 豆酱(miso) 军需(furier) 软革(maroken)
修饰(epitet) 盆骨(iliak) 粒瘤(granulom) 幽门(pilor) 武士(samuraj) 赤褐(ruf) 二极管(diod) 检疫院(lazaret) 田园(idili) 体感(propriocept)
芥气(iperit) 长石(feldspat) 白膜(albugine) 脱臼(luksaci) 顺势(homeopati) 萎黄(kloroz) 庙奴(hierodul) 鹿皮(s^am) 假声(jodl) 背书(aval)
格言(maksim) 无液(aneroid) 性无能(impotent) 网纱(tul) 神化(apoteoz) 断头(gilotin) 古生(paleozoik) 串联(tandem) 二进(binar) 紫晶(ametist)
拱廊(arkad) 树懒(ake) 无生(azo) 号角(fanfar) 囊室(divertikul) 六角(heksagon) 手相(kiromanci) 历书(almanak) 口水(bav) 白汁(bes^amel)
妥协(kompromis) 小脑(cerebel) 选手(atlet) 夹头(c^uk) 食人(kanibal) 胸膜(pleu^r) 卒中(apopleksi) 乳石(stalaktit) 圣器(sakristi) 钾碱(potas)
二项(binom) 宫伯(palatin) 颈毛(krin) 干肉(pemikan) 扫星(komet) 检尸(nekropsi) 印象(impresion) 翘嘴(pau^t) 陪审(j^uri) 童色(pederasti)
搅炼(pudl) 平流层(stratosfer) 泡疹(herpet) 五角(pentagon) 碎麻(til) 染色质(kromatin) 土黄(kaki) 梯队(eskalon) 忧虑(anksi) 实习(stag^)
发情(oestr) 电传(teleks) 星云(nebuloz) 无罪(inocent) 剪影(siluet) 驯马(maneg^) 乳突(mastoid) 蛋奶(flan) 欣快(eu^fori) 延展(duktil)
码元(koder) 红土(sien) 不长(nelg) 毛绒(flanel) 同谋(komplic) 便袍(neglig^) 粘液(mucilag) 弱视(ambliop) 矮马(pone) 改革(reformaci)
项链(kolier) 石笔(grifel) 氨硫(sulfam) 俗语(slang) 陶片(ostrak) 雪花石膏(alabastr) 前奏(prelud) 开胃酒(aperitiv) 凸眼(ekzoftalmi) 硬式飞艇(zepelin)
六分仪(sekstant) 配比(stekio) 迎风(board) 小舌(uvul) 车身(karoseri) 糖浆(sirop) 锥线(konik) 变位(konjugaci) 珠层(perlamot) 柴束(fasc^in)
经院(skolastik) 柠檬水(limonad) 商舶(karak) 垃圾(spam) 纵隔(mediastin) 面筋(gluten) 分解(katabol) 尖叫(kric^) 改宗(prozelit) 蚀刻(akvafort)
白袍(alb) 鱼际(tenar) 烤肉(kebab) 沉箱(kason) 学士(bakalau^r) 坚信礼(konfirmaci) 多嘴(kibic) 鲸须(bart) 算盘(abak) 色情(eroto)
碎屑(detrit) 统觉(apercept) 面团(knedlik) 怀旧(nostalgi) 泻块根(jalap) 甜椒(paprik) 精神分裂(skizofreni) 头皮(skalp) 礼拜(liturgi) 松鼠皮(vajr)
骨牌(domen) 弓炮(balist) 准尉(adjudant) 恐鸟(dinornit) 宗会(koncili) 灵猫香(cibet) 氯形(kloroform) 鱼苗(alvus) 横档(rung) 披肩(s^al)
处理器(procesor) 泥炭(torf) 猩红热(skarlatin) 强直(tetan) 信任(akredit) 产后(puerper) 分形(frakt) 劝愈(pitiat) 作战(operac) 加餐(kolazion)
白血病(leu^kemi) 后殿(absid) 头癣(tini) 火砾(lapil) 未完(imperfekt) 铸排(linotip) 女低(kontralt) 定理(teorem) 远征(ekspedici) 不谐(disonanc)
结扎(ligatur) 餐具(servic) 构造(tektonik) 情歌(madrigal) 同性(gej) 蜡纸(stencil) 缩瞳(mioz) 无散光(anastigmat) 阴部(pudend) 共鸣(resonanc)
方铅矿(galen) 祭司(sacerdot) 赛驼(mehar) 圆顶(kupol) 歌舞剧(vodevil) 丘脑(talam) 输尿管(ureter) 引流(seton) 红利(tantiem) 蓄电(akumulator)
中微子(neu^trin) 政变(puc^) 享乐(sibarit) 红外(infrarug^) 拱座(impos^t) 移液(pipet) 牛锅(sukijak) 插孔(j^ak) 甲氧(metoksi) 硬骨(holoste)
首相(kancelier) 天冬(aspart) 角膜(korne) 大管(fagot) 暴躁(brusk) 升水(ag^i) 投机(spekulaci) 聚变(fuzi) 滑石(talk) 求积(kvadratur)
血管瘤(angiom) 宗议(sinod) 糖煮(kompot) 方差(varianc) 船壁(pavez) 音位(fonem) 红宝(ruben) 道具(rekvizit) 肠线(katgut) 残船(vrak)
糖原(glikogen) 白内障(katarakt) 约数(divizor) 咳痰(ekspektor) 骨端(epifiz) 下指(katafor) 角砾岩(brec^i) 煮牛(gulas^) 处女膜(himen) 迷幻(psikedel)
松香(kolofon) 午睡(siest) 震荡(komoci) 头韵(aliteraci) 引渡(ekstradici) 猪油(s^malc) 含片(pastel) 脓漏(piore) 城堡(kreml) 海角(promontor)
标量(skalar) 拉链(zip) 分王(tetrark) 氧减(redoks) 颤歌(tril) 擦伤(ekskori) 民兵(milic) 硅铝(sial) 雪崩(lavang) 替身(sozi)
火绒(tindr) 游学(goliard) 缝边(orl) 艺妓(gejs^) 晶体(kristalin) 丹毒(erizipel) 青铜(bronz) 背斜(antiklinal) 剧作(dramaturg) 神智(teozof)
儿医(pediatr) 老医(geriatr) 分类(taksonom) 命名(nomenklatur) 雪暴(blizard) 环礁(atol) 星号(asterisk) 化身(avatar) 棱堡(bastion) 田径(atletik)
停战(armistic) 讲堂(au^ditori) 礼堂(au^l) 自学(au^todidakt) 接见(au^dienc) 乱伦(incest) 初乳(kolostr) 果园(hort) 自杀(suicid) 凸窗(oriel)
坡道(rampl) 门廊(porc^) 佛塔(pagod) 副官(adjutant) 教官(instruktor) 肩章(epolet) 齐射(salv) 征兵(konskripci) 占领(okupaci) 后勤(log^istik)
击锤(c^an) 军使(parlamentari) 堡垒(fortres) 轮回(metempsikoz) 护符(talisman) 硬膜(duramatr) 软膜(piamatr) 筋膜(fasci) 皮质(korteks) 船尾(pou^p)
航道(s^anel) 货舱(hold) 缩帆(ref) 抗辩(ekscepci) 裁量(diskreci) 调解(mediaci) 判例(jurisprudenc) 灭族(genocid) 音色(tembr) 乐章(moviment)
夜曲(nokturn) 序曲(uvertur) 总谱(partitur) 副歌(refren) 变奏(variaci) 谱号(kle) 指挥(dirigent) 越位(ofsajd) 回合(rau^nd) 平局(remi)
划界(demarkaci) 备忘(memorand) 公投(plebiscit) 假植(j^os) 喷嘴(ajut) 转子(rotor) 凹雕(intajl) 台钳(vajc) 雨云(nimbus) 养费(aliment)
原住(au^tokton) 峡湾(fjord) 烛台(kandelabr) 肋板(varang) 旅程(itiner) 分母(denominator) 斜边(hipotenuz) 天底(nadir) 胸腺(timus) 锁骨(klavikl)
再生(regeneraci) 重油(mazut) 民化态(civilizaci) 器化(organizaci) 半胞糖(hemiceluloz) 无生源(abiogenez) 醋盐(acetat) 酸计(acidimetr) 适测(adaptometri) 腺似炎(adenoidit)
腺瘤(adenom) 脂源(adipogenez) 管员(administrator) 气血(aeremi) 气道(aerodrom) 气图(aerogram) 气石(aerolit) 气测(aerometri) 气航(aeronau^t) 气航学(aeronau^tik)
气划(aeroplan) 气态(aerostat) 无声(afoni) 办须(agend) 场症(agorafobi) 无志(agrafi) 刺头(akantocefal) 无动(akinezi) 气候化(aklimatiz) 锐头(akrocefal)
锐青症(akrocianoz) 无色(akromat) 锐名(akronim) 轴计(aksiometr) 产学(akus^ologi) 白膜炎(albugineit) 白蛋白尿(albuminuri) 痛学家(algiolog) 痛学(algiologi) 藻学家(algolog)
藻学(algologi) 碱似(alkaloid) 碱测(alkalometri) 醇盐(alkoholat) 醇血(alkoholemi) 醇计(alkoholometr) 异声(alofon) 异病(alopati) 异养(alotrofi) 替具(alternator)
他主义(altruism) 他家(altruist) 铝盐(aluminiat) 变形虫似(ameboid) 扩具(amplifikator) 无气生(anaerobi) 无政主义(anarkism) 无政家(anarkist) 并炎(aneksit) 风图(anemogram)
风计(anemometr) 风测(anemometri) 脉学(angiologi) 脉种(angiosperm) 无水(anhidr) 无等向(anizotrop) 无氧血(anoksemi) 无氧(anoksi) 敌主义(antagonism) 敌家(antagonist)
抗生布(antibiotik) 抗旋(anticiklon) 抗声(antifon) 抗句(antifraz) 抗原(antigen) 抗体(antikorp) 抗中微子(antineu^trin) 抗律(antinomi) 抗情(antipati) 抗节(antistrof)
抗题(antitez) 抗毒(antitoksin) 反名(antonim) 人央(antropocentr) 人似(antropoid) 人学家(antropolog) 人学(antropologi) 人测(antropometri) 人形(antropomorf) 人形主义(antropomorfism)
无尿(anuri) 主脉炎(aortit) 虫垂除(apendicektomi) 虫垂炎(apendicit) 无瓣(apetal) 蛛膜炎(araknoidit) 脉除(arteriektomi) 节痛(artralgi) 节炎主义(artritism) 节学(artrologi)
节足(artropod) 节症(artroz) 无腐(aseps) 天冬盐(aspartat) 散光主义(astigmatism) 星学家(astrolog) 星航(astronau^t) 星航学(astronau^tik) 祖主义(atavism) 无神主义(ateism)
无神家(ateist) 气志(atmosferografi) 无张(atoni) 听计(au^dometr) 自生志(au^tobiografi) 自生(au^togen) 自记(au^tograf) 自志(au^tografi) 自解(au^toliz) 氮血(azotemi)
氮尿(azoturi) 藤壶炎(balanit) 蛮主义(barbarism) 压记(barograf) 压镜(baroskop) 深计(batometr) 深测(batometri) 汽油计(benzinometr) 安息香基(benzoil) 经记(bibliograf)
经志(bibliografi) 经狂(bibliomani) 二齿(bident) 二金(bimetal) 二金主义(bimetalism) 生物理(biofizik) 生源(biogenez) 生地志(biogeografi) 生记(biograf) 生化学(biokemi)
生学家(biolog) 生团(biomas) 生测(biometri) 生将(biont) 生在学(biontologi) 生球(biosfer) 生疗(bioterapi) 生境(biotop) 胚皮(blastoderm) 沸计(bolometr)
卤形(bromoform) 支炎(bronkit) 黄油被(buterat) 黄油计(buterometr) 头甲形(cefalaspidomorf) 头足(cefalopod) 头脊(cefalospin) 头胸(cefalotorak) 盲肠炎(cekumit) 胞炎(celulit)
百叶(centifoli) 厘度(centigrad) 厘克(centigram) 厘升(centilitr) 央链节(centromer) 央体(centrosom) 青盐(cianat) 青化(cianid) 蝉形(cikadomorf) 环计(ciklometr)
环测(ciklometri) 胞学家(citolog) 胞浆(citoplasm) 胞骨(citoskelet) 胞液(citosol) 胞向(citotrop) 柑盐(citrat) 泪囊炎(dakriocistit) 指记(daktilograf) 指镜(daktiloskopi)
分克(decigram) 分升(decilitr) 分米(decimetr) 从花(deflor) 十克(dekagram) 十升(dekalitr) 十戒(dekalog) 十米(dekametr) 十足(dekapod) 三角洲似(deltoid)
魔学(demonologi) 魔狂(demonomani) 证被能(demonstrativ) 树时学家(dendrokronolog) 树时学(dendrokronologi) 密测(densometri) 义学(deontologi) 皮学家(dermatolog) 皮学(dermatologi) 皮症(dermatoz)
透照(diafanoskopi) 通源(diagenez) 通时(diakron) 言学家(dialektolog) 言学(dialektologi) 通镜(diaskop) 通热(diaterm) 通温(diatermi) 二氮(diazot) 二氮盐(diazotat)
介电计(dielektrikmetr) 二字(digram) 二氯化(diklorid) 二子叶(dikotiledon) 二金盐(dikromiat) 述声(diktafon) 膨具(dilatator) 二链节(dimer) 力主义(dinamism) 二倍(diploid)
双菌(diplokok) 证学(diplomologi) 双足(diplopod) 二翅(dipter) 二蔗子(disakarid) 盘菌(diskomicet) 散信受(diskredit) 二体(disom) 二硫化(disulfid) 二硫(ditionat)
